GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11026,M9B,194.0,1.0,983,97.0,4,0
120,11049,L8H,179.0,1.0,875,83.0,5,0
120,10628,N0H,197.0,1.0,845,80.33333333333333,5,0
120,10211,L6A,178.0,1.0,950,95.0,4,0
120,10331,L5N,190.0,2.0,843,81.16666666666667,1,0
120,10662,L5M,196.0,3.0,885,85.83333333333333,3,1
120,11043,L7J,196.0,1.0,875,86.5,1,1
120,10267,L7K,196.0,3.0,777,77.66666666666667,3,0
120,10244,L6A,190.0,1.0,877,82.83333333333333,6,0
120,10328,N1K,197.0,1.0,830,82.33333333333333,3,0
120,10273,L5B,194.0,1.0,975,95.83333333333333,3,0
120,10857,N6C,179.0,2.0,865,85.66666666666667,1,0
120,10755,L3V,191.0,1.0,952,77.16666666666667,3,0
120,10273,L5B,196.0,4.0,802,77.5,3,0
120,10345,M5V,194.0,1.0,945,92.16666666666667,6,0
119,10592,N0M,193.0,2.0,765,76.5,1,0
120,10382,K0C,179.0,2.0,887,88.16666666666667,11,0
120,10341,L5M,196.0,2.0,890,89.0,2,1
120,10302,L6M,196.0,2.0,872,87.16666666666667,2,1
120,11000,L3T,197.0,2.0,795,77.83333333333333,3,0
120,10683,P2A,178.0,1.0,917,91.5,3,0
120,11043,L7G,199.0,3.0,790,66.16666666666667,5,0
120,10737,N1E,199.0,4.0,845,82.5,5,0
120,10566,M1R,194.0,1.0,925,90.0,3,0
120,10499,L2H,196.0,4.0,842,83.16666666666667,4,1
119,10213,L7P,199.0,1.0,912,91.16666666666667,5,0
119,10384,L2N,179.0,2.0,978,96.83333333333333,1,0
120,10775,L0R,196.0,3.0,793,77.16666666666667,2,0
120,11140,M3H,194.0,2.0,873,87.33333333333333,3,0
120,10345,M4X,190.0,5.0,870,87.0,6,0
120,11054,M4E,178.0,1.0,912,90.33333333333333,2,0
120,10345,M2N,190.0,1.0,873,87.33333333333333,3,0
120,10345,M2N,190.0,2.0,855,85.5,3,0
120,10281,P6C,191.0,1.0,930,89.0,2,0
120,10400,L5A,178.0,1.0,933,93.16666666666667,2,0
119,11066,N7L,196.0,3.0,893,87.66666666666667,3,1
120,10355,L2J,178.0,1.0,963,93.5,2,0
120,10355,L2H,178.0,1.0,973,96.83333333333333,2,0
119,10784,N7A,194.0,1.0,965,96.16666666666667,3,0
120,10350,M2L,178.0,1.0,907,87.16666666666667,3,0
120,10318,L2N,179.0,1.0,880,86.66666666666667,7,0
120,10350,K9K,194.0,1.0,977,96.5,3,0
120,10481,M6P,191.0,1.0,902,88.66666666666667,4,0
120,10263,N0G,178.0,1.0,912,89.5,5,0
120,10277,K7K,191.0,3.0,885,87.33333333333333,2,0
119,10345,M5B,194.0,1.0,948,94.83333333333333,5,0
120,10578,L3P,196.0,2.0,885,83.5,2,1
119,10338,L3R,191.0,1.0,918,91.5,3,0
120,10442,M8X,196.0,2.0,902,89.16666666666667,2,1
120,10918,M8X,193.0,4.0,840,82.83333333333333,3,0
120,11188,N2C,179.0,1.0,940,89.33333333333333,4,0
120,11140,M2H,196.0,5.0,878,87.83333333333333,5,1
120,10238,K8P,194.0,1.0,930,93.0,5,0
120,10598,L9C,194.0,1.0,957,94.83333333333333,2,0
120,10302,L6M,196.0,4.0,840,80.5,4,1
120,11093,L5B,175.0,2.0,812,81.16666666666667,3,0
119,10267,L7C,179.0,4.0,828,82.83333333333333,5,0
120,10947,M2H,194.0,1.0,843,84.33333333333333,4,0
120,10277,K7K,191.0,1.0,903,90.33333333333333,4,0
120,10698,M3C,190.0,2.0,890,89.0,5,0
120,10619,N2V,178.0,1.0,947,94.66666666666667,4,0
120,11140,L4J,196.0,3.0,908,90.83333333333333,3,1
120,10937,L4C,191.0,1.0,995,98.16666666666667,3,0
120,10488,N3A,197.0,1.0,865,86.5,5,0
120,10569,M5A,178.0,1.0,940,92.33333333333333,3,0
119,10919,K0M,197.0,2.0,808,80.83333333333333,6,0
120,10674,L8J,196.0,3.0,902,89.33333333333333,3,1
120,10728,M4Y,194.0,1.0,917,89.83333333333333,3,0
120,10383,K7M,191.0,1.0,915,87.0,2,0
120,10387,M5M,191.0,1.0,982,96.66666666666667,4,0
120,10474,L6H,194.0,2.0,873,85.16666666666667,4,0
119,11099,M2N,194.0,3.0,882,86.33333333333333,5,0
120,10379,L1V,191.0,1.0,963,94.66666666666667,5,0
119,11091,L5V,196.0,1.0,862,82.83333333333333,1,1
120,10566,M2L,178.0,1.0,947,93.33333333333333,9,0
120,10948,L0S,196.0,4.0,882,85.66666666666667,4,1
120,11019,M6N,196.0,2.0,930,86.0,2,1
120,10338,L6C,178.0,1.0,882,88.16666666666667,5,0
120,11000,L3X,178.0,1.0,970,95.5,6,0
120,10554,L2G,198.0,1.0,777,77.66666666666667,2,0
120,11095,M2K,179.0,2.0,942,92.83333333333333,6,0
120,10613,L3X,191.0,1.0,910,88.83333333333333,4,0
120,10267,L7C,193.0,3.0,842,82.33333333333333,1,0
119,10476,L8S,179.0,1.0,990,97.83333333333333,6,0
120,10331,L5N,190.0,4.0,853,80.83333333333333,1,0
119,10918,M8Z,178.0,3.0,848,80.66666666666667,2,0
119,10874,M4G,196.0,1.0,885,88.33333333333333,1,1
120,10672,L4B,178.0,1.0,890,87.66666666666667,4,0
120,10516,M9W,194.0,2.0,923,90.0,3,0
119,10719,M4V,197.0,2.0,885,75.0,4,0
120,10572,M6K,194.0,1.0,898,87.0,3,0
120,10937,L4C,191.0,1.0,957,95.16666666666667,2,0
120,10737,N1E,199.0,1.0,835,80.66666666666667,3,0
120,10617,M1E,194.0,1.0,855,80.0,4,0
119,10302,L6M,196.0,2.0,917,90.16666666666667,2,1
120,10567,L3R,194.0,1.0,952,94.33333333333333,3,0
119,10422,M1V,194.0,1.0,935,90.66666666666667,3,0
119,10566,L3S,196.0,1.0,903,87.66666666666667,1,1
120,11209,L0R,196.0,1.0,808,80.83333333333333,1,0
120,10830,N0K,178.0,1.0,875,87.5,3,0
120,10722,N7T,196.0,4.0,898,88.16666666666667,4,1
119,10732,N7M,198.0,1.0,802,80.16666666666667,4,0
120,10528,N1L,178.0,1.0,963,96.33333333333333,4,0
120,10616,N6K,178.0,1.0,908,90.83333333333333,3,0
119,10481,M1W,191.0,8.0,905,90.5,5,0
119,10452,N3W,196.0,2.0,903,90.33333333333333,2,1
119,10380,L6S,178.0,1.0,892,89.16666666666667,4,0
120,10267,L7C,178.0,1.0,953,94.16666666666667,4,0
120,11174,M1R,196.0,1.0,835,75.33333333333333,1,0
119,11145,N6A,196.0,2.0,942,92.83333333333333,2,1
120,10657,K9K,191.0,1.0,938,92.83333333333333,5,0
120,10957,L1B,196.0,3.0,898,89.83333333333333,3,1
119,10356,L7L,196.0,2.0,905,89.16666666666667,2,1
120,10672,L4B,178.0,7.0,883,86.83333333333333,4,0
120,10569,M2N,178.0,3.0,857,83.83333333333333,10,0
120,10384,L2M,196.0,1.0,905,88.66666666666667,1,1
120,10538,P4R,191.0,3.0,892,88.33333333333333,2,0
119,10474,L6M,194.0,1.0,898,85.16666666666667,3,0
120,10506,N8Y,178.0,1.0,922,91.5,3,0
120,10755,L7C,191.0,1.0,937,93.66666666666667,3,0
119,10233,K9K,191.0,1.0,925,77.5,4,0
120,10431,K9J,191.0,4.0,925,91.0,2,0
120,10345,M5M,196.0,3.0,837,70.0,3,1
120,10758,K7L,196.0,1.0,878,86.33333333333333,1,1
120,11024,N3W,196.0,1.0,817,79.66666666666667,2,0
120,10585,N1S,197.0,2.0,845,82.5,3,0
120,11200,L4M,190.0,1.0,813,78.83333333333333,2,0
119,10781,L6M,199.0,3.0,900,88.33333333333333,5,0
120,10253,N2K,178.0,1.0,883,88.33333333333333,2,0
120,10474,L6M,179.0,1.0,898,86.83333333333333,3,0
120,10356,L7L,196.0,1.0,865,85.33333333333333,1,1
119,10345,M5J,194.0,1.0,935,93.5,5,0
120,10559,M9W,178.0,1.0,850,77.66666666666667,3,0
120,10898,L4G,198.0,4.0,775,77.5,3,0
120,10743,N4T,196.0,2.0,910,89.33333333333333,2,1
120,10616,N6K,178.0,2.0,900,89.83333333333333,3,0
120,10855,L3S,178.0,5.0,903,90.16666666666667,6,0
120,11048,M1C,196.0,2.0,840,82.66666666666667,2,1
120,11232,K7H,190.0,2.0,870,82.16666666666667,4,0
120,10760,N7M,178.0,1.0,928,91.66666666666667,2,0
120,11168,K1M,193.0,11.0,807,77.5,2,0
119,10760,N7L,178.0,1.0,975,96.66666666666667,3,0
119,11054,M6E,194.0,2.0,882,86.16666666666667,4,0
119,11054,L3T,179.0,9.0,877,86.83333333333333,3,0
120,10645,K0G,196.0,2.0,867,83.33333333333333,2,1
119,11020,L8J,196.0,3.0,768,50.666666666666664,1,0
120,11168,K1L,196.0,3.0,878,85.33333333333333,3,1
119,10910,L9T,175.0,1.0,853,82.66666666666667,2,0
120,10775,L7P,196.0,2.0,860,85.83333333333333,2,1
120,10499,L2H,196.0,1.0,927,91.16666666666667,1,1
120,10429,L6H,191.0,1.0,953,93.83333333333333,5,0
120,10563,K2J,193.0,1.0,900,88.66666666666667,4,0
119,10290,N1R,178.0,1.0,943,93.83333333333333,4,0
120,10851,L5L,196.0,1.0,957,94.66666666666667,1,1
120,10627,L0M,179.0,1.0,885,88.16666666666667,2,0
