GEND,SCHOOL,ZIP3,CONFUNI,CONFPR,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10215,M0B,190.0,PIC,4.0,795,79.5,1,0
120,10384,M3U,,,,892,75.0,2,0
120,10538,Q5O,,,,868,74.33333333333333,1,0
120,10384,M1T,196.0,SI,1.0,923,90.66666666666667,1,1
120,10761,L0K,,,,943,91.66666666666667,2,0
119,11225,N9Y,191.0,ZI,2.0,953,94.16666666666667,3,0
120,10669,O1O,178.0,KA,1.0,890,89.0,2,0
119,11177,L9O,,,,955,94.83333333333333,3,0
120,10990,L0I,191.0,ZI,1.0,935,93.5,3,0
120,10451,O3U,178.0,KI,1.0,938,77.0,3,0
120,11145,O7I,,,,902,87.33333333333333,5,0
120,10874,N5H,,,,867,84.83333333333333,2,0
120,10682,O4U,178.0,KKC,1.0,898,89.83333333333333,3,0
120,10383,L8Q,,,,867,85.16666666666667,5,0
120,10682,O4T,178.0,KTP,2.0,773,76.83333333333333,4,0
120,10348,Q2B,193.0,RCI,1.0,760,76.0,6,0
120,10423,N5O,,,,927,92.66666666666667,3,0
120,11054,N3N,194.0,OIR,1.0,848,83.83333333333333,2,0
120,11054,N2F,178.0,KKU,1.0,900,86.66666666666667,5,0
119,11145,O7B,194.0,OS,1.0,905,90.5,3,0
120,10831,L9O,179.0,II,1.0,938,93.0,5,0
120,10857,O7D,179.0,II,1.0,877,87.66666666666667,3,0
120,10767,O6A,179.0,II,4.0,835,83.33333333333333,5,0
120,11046,N3L,194.0,OD,1.0,935,93.5,5,0
120,10603,M9U,196.0,SIA,1.0,848,84.66666666666667,1,1
120,10245,M5H,196.0,SIA,1.0,927,92.0,1,1
120,10215,M0C,196.0,SI,1.0,883,87.33333333333333,1,1
120,10233,H6Z,,,,887,88.66666666666667,3,0
120,10233,,191.0,ZI,1.0,885,87.33333333333333,2,0
120,10628,O1I,190.0,PSK,5.0,753,75.33333333333333,2,0
120,10233,,,,,860,83.83333333333333,3,0
120,10405,O2B,178.0,KKU,1.0,883,88.33333333333333,4,0
119,11164,M3I,196.0,SIA,6.0,912,90.83333333333333,6,1
120,11164,M3S,194.0,OIR,2.0,915,90.33333333333333,1,0
120,10215,M0C,,,,842,82.33333333333333,1,0
120,10834,O0L,178.0,KBO,1.0,918,91.83333333333333,4,0
120,11026,N7N,194.0,OHY,1.0,878,87.0,4,0
120,11168,L2I,194.0,OE,1.0,897,86.0,4,0
119,10709,M9F,196.0,SN,1.0,832,83.16666666666667,3,1
119,10672,M5C,175.0,GWS,4.0,833,81.5,6,0
119,11158,N5S,196.0,SIA,2.0,910,91.0,2,1
120,10214,M7N,179.0,II,2.0,832,81.0,3,0
120,10990,L0K,,,,925,91.33333333333333,3,0
120,10599,N2D,178.0,KKW,1.0,957,95.0,3,0
119,10269,O4U,178.0,KIS,1.0,925,92.16666666666667,2,0
119,10867,O1O,196.0,SIA,1.0,862,83.66666666666667,1,1
120,10215,M0C,196.0,SI,1.0,950,91.5,1,1
120,10379,N3M,194.0,OD,1.0,933,93.0,6,0
120,10550,M1I,196.0,SIA,2.0,820,81.83333333333333,2,1
120,10528,O2H,197.0,VNR,1.0,945,94.5,3,0
120,10269,O4S,179.0,II,1.0,813,81.33333333333333,3,0
120,10807,N6O,191.0,ZI,1.0,923,92.33333333333333,2,0
120,10379,M4Q,196.0,SI,3.0,920,92.0,3,1
120,10753,O3Q,178.0,KY,1.0,862,85.66666666666667,3,0
120,10238,L9W,179.0,IPS,1.0,963,95.83333333333333,3,0
119,10884,Q1L,195.0,HJ,1.0,928,89.66666666666667,2,0
119,11177,L9O,191.0,ZI,1.0,977,96.66666666666667,3,0
119,10938,N5D,178.0,KX,9.0,870,66.5,3,0
120,10313,,194.0,OD,2.0,932,91.66666666666667,3,0
120,11096,N2O,191.0,ZI,2.0,897,88.66666666666667,7,0
119,10364,L8D,193.0,RII,3.0,790,75.83333333333333,2,0
120,10822,L9B,191.0,ZI,1.0,965,95.33333333333333,2,0
120,10215,M9T,196.0,ST,4.0,800,54.0,3,1
119,11245,M9X,197.0,VNP,1.0,752,70.0,3,0
120,10258,M1T,199.0,AIW,2.0,882,15.333333333333334,1,0
120,10628,O1I,,,,843,83.16666666666667,2,0
120,10384,M3O,198.0,NV,1.0,935,92.5,2,0
120,10674,M9K,196.0,SI,1.0,903,90.33333333333333,1,1
120,11054,N5H,,,,823,81.5,3,0
120,11054,N5H,196.0,SI,2.0,870,87.0,2,1
120,10918,N9A,191.0,ZI,1.0,828,80.16666666666667,3,0
119,10966,M7T,178.0,KY,1.0,952,93.83333333333333,4,0
120,11045,L3N,199.0,AIP,2.0,855,15.0,4,0
120,10390,M4A,191.0,ZI,1.0,918,76.66666666666667,3,0
119,10240,M1M,196.0,SI,1.0,870,86.16666666666667,1,1
120,10666,M8M,179.0,II,1.0,870,87.0,4,0
119,10302,M7N,191.0,ZI,1.0,888,87.16666666666667,3,0
120,10758,L8N,,,,960,95.33333333333333,1,0
120,10394,M5H,178.0,KKC,1.0,895,88.66666666666667,2,0
