GEND,SCHOOL,ZIP3,CONFUNI,CONFPR,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10342,N2K,196.0,SIA,5.0,920,90.66666666666667,5,1
120,11238,,178.0,KSI,3.0,903,90.33333333333333,4,0
120,11140,N4I,,,,0,-1.0,2,0
120,10607,L3T,196.0,SIA,2.0,873,85.5,2,1
119,10996,,,,,918,89.5,5,0
120,11140,N4I,178.0,KSW,2.0,915,90.83333333333333,5,0
119,10297,O8B,197.0,VNR,4.0,878,83.83333333333333,1,0
120,11238,M1S,178.0,KKU,2.0,927,87.33333333333333,3,0
119,11140,N4I,194.0,OTH,3.0,858,85.83333333333333,4,0
120,10611,M3N,197.0,VNE,2.0,932,91.5,1,0
120,11140,N4I,194.0,OI,1.0,898,89.83333333333333,3,0
120,10486,O1I,178.0,KSO,1.0,967,96.33333333333333,2,0
120,11140,N4I,178.0,KKW,3.0,867,86.5,4,0
120,10530,O2S,190.0,PAV,3.0,828,82.83333333333333,2,0
119,10353,N6N,178.0,KPR,1.0,950,92.66666666666667,2,0
119,11140,N4I,194.0,OL,2.0,892,88.83333333333333,4,0
120,11140,N4I,178.0,KSI,6.0,850,85.0,5,0
120,11140,N4I,,,,0,-1.0,3,0
120,10587,N3I,194.0,ON,1.0,883,88.33333333333333,2,0
120,10452,O1B,,,,815,81.5,1,0
120,10727,O4D,194.0,OIR,1.0,912,91.16666666666667,4,0
119,11140,N4I,194.0,OTH,4.0,867,86.66666666666667,7,0
119,10382,L7I,193.0,RUI,2.0,857,83.66666666666667,3,0
120,10383,L8Q,178.0,KSO,1.0,948,78.16666666666667,2,0
120,10505,M1S,197.0,VAO,3.0,775,72.5,2,0
120,10727,O4D,178.0,KSO,1.0,938,93.16666666666667,2,0
120,10580,L1I,191.0,ZI,1.0,917,91.66666666666667,3,0
120,11140,N4I,178.0,KA,3.0,927,92.66666666666667,2,0
120,10387,N3Q,,,,890,86.83333333333333,4,0
119,10440,N5Q,196.0,SIA,2.0,953,94.16666666666667,2,1
120,10268,O3I,178.0,KY,1.0,882,88.16666666666667,3,0
120,11158,N5X,191.0,ZI,1.0,905,89.66666666666667,3,0
120,10234,L1L,178.0,KBO,1.0,957,95.5,4,0
120,10451,O1C,178.0,KW,2.0,850,81.33333333333333,3,0
120,10529,L9Q,191.0,ZI,1.0,925,92.0,4,0
120,10260,M3I,199.0,AIY,1.0,882,88.16666666666667,4,0
119,10384,M1T,198.0,NAU,1.0,853,85.16666666666667,3,0
119,11213,L7W,181.0,YIB,1.0,948,93.33333333333333,2,0
120,11140,M5K,194.0,OL,5.0,880,88.0,2,0
119,10331,M6O,178.0,KKW,1.0,882,88.0,2,0
120,10410,M6I,181.0,YIA,3.0,897,87.5,2,0
119,10222,M7M,178.0,KY,1.0,978,97.83333333333333,3,0
120,10530,O3D,190.0,PAW,5.0,913,88.0,1,0
120,10253,O3L,178.0,KTP,4.0,827,80.33333333333333,2,0
120,10331,M6O,178.0,KAP,4.0,920,89.33333333333333,2,0
119,10383,L8Q,191.0,ZI,2.0,948,94.5,3,0
120,11144,M9O,196.0,SA,1.0,857,83.33333333333333,3,0
120,11199,M9S,178.0,KKU,2.0,903,90.33333333333333,3,0
120,11199,M9S,178.0,KKW,1.0,945,94.5,3,0
119,11140,N4I,194.0,OIR,2.0,892,89.0,6,0
119,11140,N4I,194.0,OXV,4.0,832,83.16666666666667,3,0
120,11158,N5S,191.0,ZI,3.0,890,87.0,4,0
119,10580,L1I,,,,915,89.5,1,0
120,10880,L1I,,,,752,73.83333333333333,2,0
120,10331,M6O,178.0,KB,1.0,930,91.0,6,0
120,10683,Q3B,178.0,KA,2.0,937,93.66666666666667,3,0
120,11013,N3O,178.0,KKC,1.0,932,92.5,3,0
120,10806,M3B,196.0,SNO,1.0,833,83.0,1,0
119,10790,O1S,177.0,BI,3.0,878,86.16666666666667,1,0
119,10956,M2F,178.0,KKC,1.0,898,89.5,2,0
120,10277,L8L,,,,838,83.83333333333333,4,0
120,10561,M4D,178.0,KBO,1.0,908,90.33333333333333,2,0
120,10638,O4U,198.0,NCX,3.0,760,72.0,1,0
120,11090,M5K,196.0,SIA,4.0,872,87.0,4,1
120,11232,L1H,191.0,ZI,1.0,955,95.5,2,0
120,10793,L8N,199.0,AIX,2.0,870,86.16666666666667,3,0
120,10252,M6O,196.0,SI,3.0,945,89.33333333333333,3,1
120,10266,M4Z,178.0,KKU,3.0,845,84.5,2,0
120,10758,L8M,179.0,II,4.0,842,84.16666666666667,3,0
120,11136,M6K,194.0,OD,4.0,953,94.5,1,0
120,10233,L0M,191.0,ZI,1.0,967,94.66666666666667,2,0
120,11140,N4I,178.0,KSW,1.0,925,92.5,6,0
120,10849,L8T,190.0,PIM,1.0,877,87.0,2,0
119,11036,M2F,191.0,ZI,1.0,933,90.83333333333333,2,0
119,11011,M8U,197.0,VNS,1.0,933,88.83333333333333,3,0
120,10331,M6O,190.0,PIM,3.0,850,84.66666666666667,1,0
120,11185,O6B,197.0,VNB,3.0,857,83.5,4,0
119,10381,O0H,177.0,BI,2.0,843,80.33333333333333,3,0
119,10253,O3L,178.0,KKC,2.0,900,89.16666666666667,4,0
120,11136,M6H,191.0,ZD,1.0,958,94.5,5,0
120,10258,M4D,196.0,SI,1.0,932,16.5,1,1
120,11120,N2W,194.0,OD,1.0,917,91.66666666666667,4,0
120,11120,N2W,178.0,KKC,1.0,902,90.16666666666667,4,0
120,11224,M6N,196.0,SI,3.0,857,85.66666666666667,3,1
120,10587,N3I,194.0,OJA,1.0,867,86.66666666666667,2,0
119,10302,M7N,194.0,ON,2.0,962,95.66666666666667,3,0
120,10315,,194.0,OMV,2.0,847,68.66666666666667,4,0
120,11145,O7B,,,,967,95.66666666666667,4,0
119,11145,O7B,,,,935,92.5,1,0
120,11145,O7B,,,,902,90.16666666666667,2,0
