GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10946,191.0,1.0,915,91.5,4,0,454.886
120,10372,199.0,3.0,848,84.83333333333333,2,0,57.272
119,10722,178.0,4.0,883,84.0,5,0,221.344
120,11120,178.0,1.0,900,87.5,2,0,94.52
120,11067,178.0,1.0,960,94.16666666666667,3,0,485.905
120,11236,178.0,1.0,895,88.16666666666667,2,0,49.547
120,10917,193.0,1.0,828,82.83333333333333,2,0,65.281
119,10594,178.0,1.0,955,94.0,6,0,18.526
119,10405,196.0,1.0,862,83.5,1,1,112.88
119,10799,194.0,1.0,897,90.8,5,0,516.275
120,10904,191.0,7.0,928,95.0,2,0,323.122
120,11140,194.0,7.0,875,87.5,2,0,86.654
119,11120,178.0,5.0,965,96.5,6,0,94.52
119,11140,194.0,1.0,842,84.0,5,0,90.18
119,10217,196.0,5.0,857,85.16666666666667,2,0,69.301
119,11030,191.0,1.0,945,93.83333333333333,3,0,80.197
120,10436,196.0,1.0,947,91.83333333333333,1,1,80.7
120,10216,181.0,1.0,890,87.33333333333333,3,0,203.459
120,10429,179.0,2.0,895,88.0,3,0,35.959
120,11140,194.0,1.0,818,81.83333333333333,5,0,92.454
120,10831,191.0,1.0,955,94.16666666666667,3,0,273.902
119,10812,178.0,1.0,920,90.33333333333333,4,0,117.408
119,10648,197.0,1.0,912,91.16666666666667,3,0,256.089
120,10812,191.0,1.0,920,92.0,2,0,123.68
120,10618,193.0,2.0,862,81.0,1,0,496.4
120,11113,196.0,1.0,868,86.83333333333333,1,1,90.18
120,10302,196.0,3.0,872,87.16666666666667,3,1,29.132
120,10316,196.0,2.0,893,85.83333333333333,2,1,50.891
120,11068,177.0,1.0,960,95.83333333333333,3,0,297.078
120,10550,191.0,1.0,952,94.66666666666667,4,0,123.555
120,10930,178.0,2.0,988,97.5,1,0,123.68
119,10486,178.0,2.0,957,95.0,3,0,213.801
119,10781,196.0,4.0,937,93.16666666666667,4,1,29.132
120,10355,191.0,1.0,923,88.83333333333333,3,0,85.419
120,11217,194.0,2.0,953,95.33333333333333,3,0,49.547
120,10302,198.0,2.0,840,78.0,3,0,21.04
120,10872,191.0,2.0,900,89.0,4,0,531.006
119,10331,178.0,1.0,877,84.16666666666667,2,0,47.066
120,10383,191.0,1.0,917,91.16666666666667,3,0,322.041
120,10328,178.0,1.0,960,94.66666666666667,4,0,51.696
120,10212,196.0,1.0,955,98.0,1,1,405.341
119,11024,191.0,1.0,920,91.33333333333333,2,0,15.182
120,11232,193.0,4.0,862,84.66666666666667,2,0,390.017
120,10488,197.0,4.0,847,82.66666666666667,5,0,65.281
120,11094,191.0,1.0,937,93.0,2,0,35.959
120,10984,179.0,1.0,970,95.83333333333333,2,0,141.092
120,11000,178.0,1.0,947,90.33333333333333,3,0,90.18
119,10402,199.0,3.0,847,81.83333333333333,1,0,454.886
119,10962,191.0,2.0,965,94.5,1,0,142.509
120,11074,194.0,2.0,947,92.0,4,0,50.891
120,11239,179.0,3.0,912,89.66666666666667,4,0,78.836
120,10984,178.0,1.0,970,95.83333333333333,2,0,141.092
120,10350,178.0,1.0,933,90.5,3,0,96.7
120,10619,178.0,1.0,905,90.5,3,0,76.332
120,10849,199.0,3.0,745,74.5,2,0,463.334
120,10331,178.0,1.0,932,92.16666666666667,2,0,43.375
119,11026,194.0,1.0,938,90.33333333333333,4,0,56.791
120,10429,191.0,1.0,913,91.33333333333333,3,0,35.959
120,10550,176.0,3.0,860,86.0,5,0,123.555
120,10302,179.0,1.0,893,88.66666666666667,4,0,29.132
120,10474,178.0,1.0,908,89.16666666666667,3,0,29.132
120,11109,191.0,1.0,942,93.83333333333333,3,0,149.33
119,11184,178.0,1.0,912,90.83333333333333,3,0,78.074
119,10492,178.0,1.0,947,92.5,3,0,96.043
119,10469,196.0,4.0,983,98.33333333333333,4,1,238.548
119,10244,190.0,1.0,850,78.66666666666667,5,0,93.662
120,10909,196.0,1.0,852,97.0,1,1,58.552
120,10737,196.0,1.0,915,91.5,1,1,50.384
120,10258,194.0,1.0,932,96.0,2,0,89.965
120,10348,191.0,2.0,903,90.0,3,0,401.539
120,10258,175.0,4.0,800,86.0,5,0,79.807
120,10327,178.0,1.0,940,92.0,3,0,80.095
120,10634,199.0,5.0,940,86.5,3,0,502.648
120,10217,194.0,17.0,828,82.83333333333333,7,0,69.301
