GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11149,M5V,196.0,1.0,915,90.83333333333333,1,1
120,11140,M1V,196.0,1.0,838,83.83333333333333,4,0
120,11073,M3B,196.0,1.0,853,85.33333333333333,1,0
119,10081,L6J,196.0,4.0,878,87.33333333333333,4,1
120,10535,L3R,196.0,1.0,903,85.16666666666667,1,1
120,10618,K2B,196.0,2.0,892,88.66666666666667,2,1
120,11073,M1P,196.0,1.0,860,86.0,1,1
120,10486,N4K,196.0,1.0,950,92.16666666666667,2,0
119,10384,L2N,196.0,5.0,828,79.0,1,0
120,10628,N0H,196.0,3.0,887,86.66666666666667,4,0
120,10136,N1G,196.0,2.0,903,90.33333333333333,2,1
120,11094,L5M,196.0,2.0,950,95.0,2,1
120,10538,P4N,196.0,1.0,938,93.16666666666667,1,1
120,10096,,196.0,2.0,902,90.16666666666667,2,1
120,10085,L4R,196.0,1.0,933,91.83333333333333,4,0
120,10499,L2H,196.0,2.0,895,87.83333333333333,2,1
119,10375,N1P,196.0,4.0,883,84.83333333333333,4,1
119,10727,N3C,196.0,1.0,893,89.33333333333333,1,1
120,10096,,196.0,2.0,902,89.0,2,1
120,10175,L4B,196.0,2.0,927,76.66666666666667,2,1
120,10104,,196.0,2.0,917,90.0,2,0
119,10096,,196.0,3.0,950,94.0,3,1
120,10302,L6M,196.0,2.0,863,84.66666666666667,2,0
120,10550,L4A,196.0,1.0,955,94.66666666666667,1,1
120,11012,N3T,196.0,1.0,832,82.0,1,0
120,10471,N0G,196.0,2.0,927,92.33333333333333,2,1
120,10244,L4J,196.0,3.0,885,88.5,3,1
119,10619,N2V,196.0,1.0,898,87.5,1,1
120,10628,N0H,196.0,1.0,967,95.66666666666667,1,1
120,11154,M1V,196.0,2.0,857,85.66666666666667,2,1
119,10144,K2C,196.0,1.0,900,86.0,3,0
120,10574,N5R,196.0,2.0,933,91.16666666666667,2,1
120,11145,N6A,196.0,4.0,912,88.16666666666667,4,1
120,11145,N6A,196.0,1.0,898,89.83333333333333,1,0
120,10186,N0N,196.0,2.0,882,87.66666666666667,2,1
120,11041,L8W,196.0,2.0,922,88.66666666666667,2,1
