GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10342,196.0,5.0,920,90.66666666666667,5,1,95.799
120,10607,196.0,2.0,873,85.5,2,1,446.701
119,10440,196.0,2.0,953,94.16666666666667,2,1,81.336
120,11144,196.0,1.0,857,83.33333333333333,3,0,5.496
120,10806,196.0,1.0,833,83.0,1,0,112.88
120,11090,196.0,4.0,872,87.0,4,1,89.771
120,10252,196.0,3.0,945,89.33333333333333,3,1,47.066
120,10258,196.0,1.0,932,99.0,1,1,89.2
120,11224,196.0,3.0,857,85.66666666666667,3,1,44.036
120,10905,196.0,1.0,867,86.66666666666667,1,1,61.605
120,10211,196.0,1.0,885,88.5,1,1,93.662
120,10215,196.0,1.0,912,91.16666666666667,1,1,14.672
119,11100,196.0,1.0,910,91.0,1,1,49.547
119,10573,196.0,2.0,817,81.66666666666667,2,0,156.952
120,11024,196.0,2.0,850,85.0,2,1,9.638
120,10250,196.0,1.0,845,84.5,1,1,156.952
119,10341,196.0,1.0,942,93.66666666666667,1,1,44.036
120,10213,196.0,3.0,913,89.66666666666667,2,0,14.672
120,10758,196.0,1.0,950,95.0,1,1,326.986
119,11091,196.0,2.0,887,87.5,1,0,47.066
120,10598,196.0,1.0,930,91.33333333333333,1,1,6.603
120,10282,196.0,3.0,838,82.66666666666667,3,1,56.209
119,10598,196.0,2.0,892,84.0,3,0,6.603
120,11145,196.0,1.0,818,81.83333333333333,3,0,129.213
120,11145,196.0,2.0,878,87.83333333333333,2,1,141.092
119,11145,196.0,2.0,885,85.83333333333333,2,1,129.213
120,10341,196.0,1.0,838,83.83333333333333,1,1,44.036
120,11245,196.0,1.0,923,91.5,1,1,18.526
120,10331,196.0,1.0,945,93.33333333333333,1,1,47.066
120,10345,196.0,1.0,878,87.33333333333333,1,1,80.095
120,10335,196.0,2.0,895,88.0,2,1,79.807
120,10775,196.0,1.0,913,91.33333333333333,1,1,58.645
120,11219,196.0,2.0,872,87.16666666666667,2,1,82.268
120,10335,196.0,1.0,882,88.16666666666667,1,1,89.2
119,11219,196.0,2.0,872,84.66666666666667,2,1,82.268
120,10316,196.0,2.0,903,90.16666666666667,2,1,50.891
120,11024,196.0,1.0,863,83.83333333333333,1,1,14.672
120,10775,196.0,2.0,875,87.5,2,1,19.322
120,10700,196.0,1.0,935,93.33333333333333,1,1,213.801
120,10771,196.0,1.0,817,81.5,2,0,79.807
120,10819,196.0,1.0,893,89.33333333333333,1,1,198.367
120,10390,196.0,5.0,852,85.16666666666667,5,1,118.678
120,10410,196.0,3.0,873,86.33333333333333,3,1,38.646
120,11245,196.0,1.0,858,84.66666666666667,1,1,18.526
120,10282,196.0,3.0,918,90.16666666666667,3,1,56.209
