GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,11219,193.0,1.0,960,96.0,3,0
120,10942,,,797,78.16666666666667,7,0
120,11148,175.0,1.0,0,53.5,6,0
120,11238,199.0,2.0,765,76.5,1,0
120,10246,194.0,1.0,873,-1.0,3,0
119,11238,191.0,2.0,937,88.16666666666667,3,0
119,11168,178.0,1.0,955,94.5,3,0
120,10264,178.0,1.0,850,85.0,2,0
120,11199,194.0,1.0,883,88.33333333333333,3,0
120,10297,178.0,2.0,898,89.16666666666667,1,0
120,11199,199.0,3.0,922,92.16666666666667,1,0
120,11238,178.0,2.0,855,85.5,3,0
120,11199,199.0,2.0,802,80.16666666666667,5,0
120,10309,194.0,3.0,803,80.33333333333333,2,0
120,11210,178.0,1.0,885,85.33333333333333,2,0
119,11005,194.0,2.0,862,85.16666666666667,3,0
120,11099,178.0,2.0,813,81.33333333333333,3,0
120,11148,178.0,1.0,900,90.0,2,0
119,10863,194.0,1.0,952,94.0,2,0
119,10353,191.0,1.0,893,87.83333333333333,4,0
120,10518,197.0,1.0,860,84.66666666666667,3,0
120,10459,178.0,1.0,818,81.83333333333333,3,0
120,10628,178.0,1.0,828,82.16666666666667,3,0
120,11210,190.0,1.0,752,72.66666666666667,10,0
120,11199,,,0,-1.0,1,0
120,10335,179.0,6.0,877,86.33333333333333,3,0
120,10657,,,828,82.33333333333333,3,0
120,11168,199.0,1.0,765,74.0,5,0
120,10528,178.0,1.0,893,86.5,2,0
120,10917,178.0,1.0,938,92.5,2,0
120,10739,178.0,1.0,848,82.0,3,0
120,10348,199.0,1.0,785,76.0,3,0
119,10273,194.0,2.0,902,87.5,6,0
120,10528,194.0,1.0,923,91.16666666666667,4,0
120,10662,191.0,1.0,900,90.0,3,0
120,11238,194.0,1.0,917,91.66666666666667,2,0
120,10383,191.0,3.0,872,87.16666666666667,5,0
120,10478,179.0,1.0,918,91.83333333333333,3,0
119,10341,197.0,1.0,877,85.66666666666667,4,0
120,11239,,,952,95.16666666666667,2,0
119,11203,181.0,2.0,728,72.83333333333333,8,0
120,10486,191.0,2.0,915,91.5,1,0
120,10758,194.0,1.0,965,94.83333333333333,3,0
120,10917,178.0,1.0,953,95.33333333333333,3,0
120,10504,178.0,1.0,822,82.16666666666667,4,0
120,11225,178.0,1.0,950,93.83333333333333,4,0
120,10309,,,738,30.0,2,0
