GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,10822,191.0,3.0,953,94.5,2,0
119,10462,178.0,2.0,900,89.0,4,0
119,10808,178.0,1.0,900,90.0,5,0
120,11225,181.0,6.0,753,75.33333333333333,2,0
120,10532,193.0,1.0,912,91.16666666666667,3,0
120,10888,190.0,5.0,868,85.16666666666667,2,0
120,10262,199.0,3.0,867,85.16666666666667,6,0
120,10639,193.0,5.0,875,86.66666666666667,4,0
120,10565,178.0,1.0,963,95.83333333333333,3,0
120,10270,178.0,2.0,933,93.33333333333333,3,0
120,10432,178.0,2.0,950,93.16666666666667,6,0
119,11225,,,763,63.5,2,0
120,10528,191.0,1.0,912,91.16666666666667,2,0
120,10557,178.0,1.0,945,94.5,2,0
119,10277,194.0,2.0,972,96.66666666666667,3,0
120,11020,197.0,4.0,845,84.5,1,0
119,10909,194.0,1.0,922,16.0,3,0
119,10786,178.0,1.0,933,76.16666666666667,3,0
119,10662,194.0,1.0,967,96.66666666666667,2,0
119,10451,178.0,1.0,968,80.66666666666667,3,0
119,10900,194.0,2.0,908,15.666666666666666,3,0
120,10770,,,952,94.16666666666667,3,0
120,10625,178.0,1.0,920,92.0,4,0
120,10354,193.0,1.0,808,80.83333333333333,2,0
120,10966,179.0,3.0,910,89.33333333333333,4,0
120,10557,178.0,1.0,942,94.16666666666667,3,0
119,10786,178.0,1.0,975,97.0,3,0
120,10632,178.0,1.0,952,93.0,2,0
120,11043,197.0,3.0,855,80.16666666666667,2,0
120,10611,191.0,2.0,953,93.33333333333333,4,0
120,10316,178.0,1.0,950,92.0,4,0
120,11013,178.0,1.0,962,95.66666666666667,2,0
120,10650,179.0,5.0,912,85.0,2,0
120,10650,178.0,2.0,938,93.5,3,0
120,10851,191.0,1.0,967,92.16666666666667,4,0
120,10354,191.0,1.0,927,92.66666666666667,2,0
119,11120,194.0,1.0,938,93.83333333333333,5,0
120,10781,176.0,2.0,907,75.0,1,0
120,11140,,,0,-1.0,1,0
120,10327,194.0,1.0,912,91.16666666666667,4,0
120,10565,177.0,1.0,935,89.5,3,0
120,11088,178.0,4.0,898,88.66666666666667,1,0
119,10969,181.0,1.0,853,85.33333333333333,2,0
119,10749,197.0,1.0,900,89.83333333333333,4,0
119,10440,179.0,5.0,937,92.83333333333333,6,0
120,10589,193.0,1.0,838,82.66666666666667,4,0
120,11013,,,965,95.5,9,0
119,11099,194.0,1.0,945,93.0,3,0
119,10282,197.0,2.0,900,85.83333333333333,1,0
120,11083,190.0,3.0,883,88.33333333333333,2,0
119,10279,191.0,2.0,975,16.5,1,0
119,10474,,,670,67.0,2,0
119,10348,191.0,3.0,950,93.33333333333333,2,0
119,11030,191.0,1.0,893,88.66666666666667,5,0
120,10228,178.0,2.0,962,96.16666666666667,3,0
120,10538,193.0,1.0,880,85.16666666666667,3,0
120,10387,191.0,1.0,943,93.33333333333333,3,0
120,10628,179.0,2.0,915,90.0,1,0
120,11043,197.0,2.0,880,83.66666666666667,1,0
120,10550,178.0,4.0,953,95.33333333333333,8,0
120,10733,178.0,5.0,942,78.83333333333333,2,0
120,11225,197.0,1.0,948,78.5,2,0
120,10383,,,855,85.5,2,0
120,10733,178.0,1.0,985,98.16666666666667,6,0
119,10394,191.0,1.0,932,93.16666666666667,2,0
120,11142,194.0,5.0,873,87.33333333333333,7,0
119,11024,191.0,1.0,938,93.83333333333333,3,0
120,10788,178.0,1.0,977,97.66666666666667,2,0
120,11168,193.0,5.0,890,86.5,3,0
120,10948,199.0,3.0,867,82.0,4,0
120,10436,194.0,2.0,918,91.0,3,0
119,11058,191.0,1.0,970,96.83333333333333,3,0
120,10777,178.0,8.0,885,88.5,4,0
120,11120,194.0,2.0,942,94.16666666666667,3,0
120,10528,197.0,3.0,878,83.5,2,0
119,10733,178.0,1.0,962,78.5,3,0
120,10868,,,872,87.16666666666667,4,0
119,10394,191.0,1.0,920,91.33333333333333,2,0
119,10383,178.0,3.0,925,91.33333333333333,8,0
119,10641,178.0,1.0,968,96.5,4,0
120,10412,,,937,91.0,3,0
120,10360,178.0,2.0,963,95.33333333333333,5,0
120,10724,,,867,86.5,1,0
120,10387,194.0,9.0,893,88.33333333333333,2,0
120,10996,178.0,2.0,913,91.33333333333333,6,0
120,10216,181.0,3.0,950,92.5,2,0
120,10327,,,0,44.333333333333336,6,0
120,11140,194.0,2.0,890,89.0,4,0
120,10213,178.0,1.0,912,91.16666666666667,4,0
120,10792,179.0,1.0,918,88.16666666666667,4,0
120,10884,199.0,5.0,843,84.33333333333333,4,0
120,11140,194.0,6.0,938,93.33333333333333,8,0
119,10258,181.0,1.0,858,15.0,2,0
120,11120,194.0,1.0,932,93.16666666666667,2,0
119,10410,194.0,2.0,877,83.83333333333333,3,0
119,10619,178.0,1.0,953,94.66666666666667,2,0
119,10870,191.0,1.0,963,96.16666666666667,3,0
120,10258,179.0,1.0,922,15.833333333333334,5,0
120,10360,178.0,2.0,947,94.16666666666667,3,0
120,11149,194.0,2.0,940,94.0,12,0
120,10801,,,912,90.33333333333333,5,0
120,10568,191.0,2.0,888,88.66666666666667,3,0
119,10807,178.0,1.0,965,95.5,3,0
119,10558,178.0,1.0,942,93.0,2,0
120,10650,190.0,6.0,883,86.66666666666667,2,0
120,10277,191.0,1.0,858,85.83333333333333,7,0
120,10316,178.0,1.0,982,96.83333333333333,3,0
120,11003,178.0,1.0,937,92.83333333333333,3,0
120,11043,194.0,4.0,928,91.66666666666667,3,0
120,10850,194.0,1.0,983,97.5,2,0
119,10436,191.0,1.0,917,87.33333333333333,4,0
119,11102,,,950,93.83333333333333,6,0
120,10309,194.0,1.0,977,96.5,3,0
120,11016,193.0,2.0,870,15.166666666666666,3,0
120,10711,178.0,1.0,967,94.66666666666667,3,0
120,10273,190.0,2.0,887,88.66666666666667,3,0
