GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11064,193.0,10.0,890,87.5,3,0
119,11140,194.0,1.0,938,91.16666666666667,6,0
120,11140,194.0,2.0,923,92.16666666666667,4,0
119,11140,194.0,2.0,943,92.66666666666667,4,0
120,11140,194.0,2.0,917,91.66666666666667,7,0
119,11140,194.0,1.0,878,87.83333333333333,6,0
120,10189,,,952,93.5,2,0
120,10880,191.0,3.0,867,86.66666666666667,4,0
120,11140,178.0,2.0,893,88.83333333333333,3,0
120,11073,194.0,5.0,930,93.0,2,0
120,11140,194.0,2.0,918,91.83333333333333,4,0
119,11140,178.0,3.0,945,94.5,8,0
120,11140,194.0,2.0,897,89.66666666666667,9,0
120,11140,194.0,2.0,910,89.0,8,0
120,11140,194.0,1.0,822,82.16666666666667,10,0
120,10784,178.0,1.0,970,96.66666666666667,2,0
120,10946,191.0,2.0,905,89.33333333333333,3,0
119,11140,194.0,1.0,938,93.83333333333333,9,0
120,11140,193.0,6.0,852,85.16666666666667,1,0
119,10924,191.0,1.0,882,88.16666666666667,2,0
119,10745,178.0,1.0,927,89.5,3,0
119,10683,178.0,1.0,948,93.33333333333333,3,0
119,11140,194.0,1.0,905,90.5,4,0
120,11140,194.0,2.0,785,78.33333333333333,6,0
120,11140,194.0,1.0,895,89.0,4,0
120,11140,194.0,6.0,817,80.83333333333333,4,0
120,10075,178.0,2.0,915,87.16666666666667,8,0
120,10356,191.0,3.0,868,73.16666666666667,2,0
119,11140,197.0,8.0,877,87.16666666666667,7,0
120,10758,191.0,1.0,895,89.5,2,0
119,10729,197.0,2.0,858,85.83333333333333,3,0
120,11140,194.0,4.0,838,83.83333333333333,6,0
119,10125,193.0,1.0,913,90.66666666666667,3,0
119,10607,,,940,92.0,4,0
120,10381,177.0,2.0,827,78.66666666666667,1,0
120,11140,193.0,6.0,830,82.33333333333333,2,0
120,10174,197.0,1.0,827,82.66666666666667,2,0
120,10088,,,0,42.333333333333336,1,0
120,10004,191.0,1.0,895,89.5,2,0
119,10611,191.0,1.0,893,89.33333333333333,4,0
119,11043,176.0,3.0,918,91.0,6,0
120,10618,199.0,2.0,800,76.66666666666667,4,0
120,11059,178.0,1.0,757,73.66666666666667,2,0
120,10159,199.0,2.0,812,81.16666666666667,1,0
120,10076,194.0,3.0,980,97.16666666666667,2,0
120,10758,193.0,4.0,795,79.5,2,0
120,11094,178.0,1.0,937,93.66666666666667,2,0
120,10412,193.0,9.0,833,80.83333333333333,4,0
120,10759,181.0,3.0,947,90.16666666666667,2,0
120,11094,,,948,94.83333333333333,3,0
120,10118,181.0,1.0,877,59.333333333333336,4,0
119,11140,194.0,1.0,925,92.0,6,0
120,11140,194.0,2.0,923,91.83333333333333,9,0
119,10076,,,942,78.5,3,0
119,10324,,,975,16.666666666666668,3,0
120,10082,,,750,73.5,3,0
120,10971,191.0,1.0,928,91.0,2,0
119,10118,,,860,72.16666666666667,2,0
120,10758,191.0,1.0,957,95.16666666666667,3,0
120,10075,194.0,1.0,828,80.33333333333333,7,0
120,10172,179.0,1.0,897,88.66666666666667,3,0
120,10277,178.0,1.0,967,94.66666666666667,3,0
120,10924,193.0,4.0,835,83.0,3,0
119,10758,191.0,1.0,927,92.66666666666667,3,0
120,10148,191.0,1.0,940,93.33333333333333,3,0
120,11021,179.0,3.0,930,92.16666666666667,4,0
120,10105,,,720,72.0,3,0
120,10004,194.0,2.0,868,85.16666666666667,5,0
120,11043,199.0,1.0,802,80.16666666666667,3,0
120,11043,191.0,3.0,903,89.66666666666667,2,0
119,10106,194.0,2.0,950,95.0,3,0
120,10058,,,932,93.16666666666667,3,0
120,10931,193.0,2.0,835,15.0,4,0
120,10175,199.0,5.0,830,80.83333333333333,1,0
120,10375,193.0,4.0,900,88.5,2,0
119,10845,,,893,89.33333333333333,4,0
120,10756,179.0,4.0,915,91.5,2,0
