GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10557,196.0,2.0,883,79.83333333333333,5,0,29.132
120,10386,196.0,1.0,885,86.0,1,1,76.784
120,10764,196.0,1.0,898,89.83333333333333,1,1,44.362
120,11093,196.0,2.0,943,92.5,2,1,44.036
120,10580,196.0,2.0,930,91.83333333333333,2,1,339.69
120,10835,196.0,1.0,927,92.33333333333333,1,1,119.227
120,10370,196.0,1.0,915,90.16666666666667,1,1,132.204
120,11000,196.0,2.0,925,92.5,2,1,96.043
120,10557,196.0,3.0,873,87.33333333333333,3,1,26.523
120,10788,196.0,1.0,975,97.16666666666667,7,0,12.637
120,11185,196.0,2.0,870,87.2,2,1,105.998
119,10380,196.0,5.0,818,81.0,3,0,56.209
119,11158,196.0,1.0,928,92.83333333333333,1,1,61.478
119,11110,196.0,1.0,912,88.5,1,0,74.86
120,11117,196.0,3.0,915,90.83333333333333,3,1,90.18
120,10786,196.0,2.0,865,81.83333333333333,1,0,44.036
120,10487,196.0,3.0,875,85.5,3,1,458.958
120,11015,196.0,2.0,902,89.16666666666667,2,1,105.068
120,10851,196.0,3.0,917,88.33333333333333,3,1,29.132
120,10327,196.0,1.0,828,82.83333333333333,6,0,85.743
120,10231,196.0,11.0,853,81.16666666666667,3,0,95.506
119,10327,196.0,2.0,920,91.0,3,0,108.667
119,10400,196.0,2.0,860,86.0,3,0,49.237
120,10424,196.0,1.0,925,96.0,1,1,236.071
119,10829,196.0,3.0,885,88.5,3,1,82.955
119,10429,196.0,2.0,910,87.16666666666667,2,1,35.959
119,10812,196.0,1.0,978,96.83333333333333,1,1,111.191
120,11011,196.0,4.0,903,88.66666666666667,4,1,21.04
119,10228,196.0,7.0,990,98.16666666666667,7,1,26.523
119,11041,196.0,1.0,970,97.0,4,0,7.135
120,11015,196.0,2.0,915,90.66666666666667,2,1,122.728
120,11011,196.0,1.0,887,88.33333333333333,1,1,17.022
120,10400,196.0,1.0,877,86.33333333333333,1,1,53.716
120,10978,196.0,4.0,893,88.66666666666667,4,1,86.654
120,10694,196.0,1.0,930,90.83333333333333,1,1,78.822
120,11241,196.0,4.0,925,91.83333333333333,4,1,172.542
119,11102,196.0,2.0,940,93.83333333333333,6,0,79.906
120,10593,196.0,1.0,927,92.66666666666667,1,1,58.645
120,10757,196.0,4.0,912,90.33333333333333,4,1,111.191
119,10568,196.0,1.0,980,96.5,5,0,82.229
120,11024,196.0,5.0,947,91.16666666666667,5,1,9.638
120,10474,196.0,2.0,965,95.0,4,0,29.132
120,10775,196.0,1.0,862,86.16666666666667,3,0,12.637
120,10632,196.0,2.0,945,93.66666666666667,2,1,36.861
119,10474,196.0,2.0,915,85.5,2,1,36.861
120,10666,196.0,4.0,940,92.33333333333333,4,1,21.165
120,10244,196.0,2.0,923,88.83333333333333,2,1,79.825
120,10341,196.0,1.0,895,87.83333333333333,1,1,50.5
119,10213,196.0,2.0,893,88.5,2,1,4.295
120,11245,196.0,1.0,817,80.83333333333333,3,0,18.526
120,10781,196.0,3.0,918,91.83333333333333,3,1,29.132
120,11198,196.0,1.0,920,90.66666666666667,8,0,77.8
120,10788,196.0,7.0,910,88.5,7,1,34.328
120,10690,196.0,2.0,900,87.83333333333333,2,1,152.363
120,10458,196.0,10.0,868,86.83333333333333,10,1,85.419
120,10788,196.0,1.0,985,98.33333333333333,4,0,12.637
120,10413,196.0,1.0,912,91.16666666666667,1,1,44.386
119,11041,196.0,2.0,845,84.5,1,0,7.135
120,11220,196.0,1.0,947,93.0,1,1,47.066
120,10780,196.0,3.0,895,89.16666666666667,3,1,50.5
120,10457,196.0,2.0,910,90.66666666666667,2,1,65.837
120,10225,196.0,4.0,883,86.83333333333333,4,1,65.837
120,10780,196.0,3.0,905,90.33333333333333,3,1,44.036
120,11202,196.0,1.0,902,90.16666666666667,1,1,36.619
119,10474,196.0,4.0,897,89.66666666666667,4,1,29.132
120,10467,196.0,4.0,910,91.0,4,1,62.191
120,10341,196.0,2.0,897,88.0,2,1,44.036
120,10725,196.0,2.0,907,88.16666666666667,2,1,44.036
120,10924,196.0,1.0,910,91.0,1,1,339.69
120,10936,196.0,1.0,917,91.66666666666667,1,1,73.063
120,10341,196.0,3.0,888,88.16666666666667,3,1,44.036
120,10946,196.0,4.0,893,87.33333333333333,4,1,454.886
119,10786,196.0,1.0,847,79.0,2,0,54.851
119,10324,196.0,5.0,878,93.0,1,0,29.132
120,10779,196.0,3.0,883,88.33333333333333,3,1,63.292
119,11021,196.0,1.0,967,95.83333333333333,1,1,36.861
120,11011,196.0,4.0,890,88.0,4,1,21.04
120,10792,196.0,4.0,912,88.0,4,1,37.914
120,10921,196.0,2.0,930,92.66666666666667,2,1,58.985
120,10874,196.0,4.0,875,85.83333333333333,4,1,79.543
120,10736,196.0,4.0,912,90.33333333333333,4,1,77.8
119,10868,196.0,2.0,858,85.16666666666667,1,0,104.717
119,10799,196.0,3.0,927,87.0,3,1,502.648
120,10492,196.0,1.0,920,92.0,1,1,89.771
119,10434,196.0,1.0,933,91.83333333333333,1,1,49.865
120,10341,196.0,1.0,888,85.33333333333333,1,1,44.036
119,10801,196.0,2.0,917,91.16666666666667,2,1,78.768
119,11117,196.0,2.0,913,90.5,2,1,90.18
120,10731,196.0,2.0,905,89.5,2,1,15.182
120,10874,196.0,3.0,888,88.33333333333333,3,1,79.543
120,10355,196.0,1.0,942,92.5,1,1,85.419
120,11024,196.0,1.0,940,94.0,1,1,8.381
120,10662,196.0,6.0,923,88.33333333333333,6,1,322.041
120,11094,196.0,1.0,905,88.16666666666667,1,1,29.132
119,10937,196.0,3.0,915,91.8,3,1,96.7
119,10327,196.0,4.0,940,92.83333333333333,4,1,85.743
119,10567,196.0,1.0,883,88.16666666666667,2,0,101.274
120,10735,196.0,3.0,887,88.5,3,1,115.789
120,10731,196.0,1.0,940,92.66666666666667,3,0,15.182
120,10702,196.0,1.0,0,84.0,2,0,146.557
