GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
119,11059,L0R,196.0,1.0,962,95.5,1,1,58.645
120,11203,L6J,196.0,9.0,882,88.16666666666667,9,1,36.619
120,10405,L2A,196.0,2.0,843,81.5,2,1,112.88
119,10404,L3R,196.0,2.0,908,88.33333333333333,2,1,101.274
120,10786,L5C,196.0,2.0,835,83.5,2,1,49.547
120,11015,L1N,196.0,2.0,870,87.0,2,1,122.939
120,10375,N1R,196.0,1.0,902,87.33333333333333,1,1,37.191
120,10696,L0L,196.0,1.0,908,91.0,2,0,172.542
120,10647,L4C,196.0,1.0,860,86.0,1,1,96.7
120,11233,L3R,196.0,2.0,865,86.5,2,1,101.274
120,10837,M9V,196.0,3.0,802,80.16666666666667,3,1,68.4
120,10209,L4G,196.0,2.0,942,93.0,2,1,119.227
120,10215,L9C,196.0,1.0,757,73.66666666666667,1,0,6.603
120,11135,L3R,196.0,3.0,882,87.33333333333333,3,1,101.274
120,10235,L3K,196.0,1.0,945,93.83333333333333,1,1,105.956
120,10965,P1B,196.0,2.0,848,84.83333333333333,2,1,398.546
119,10574,N5L,196.0,1.0,927,88.66666666666667,1,1,155.03
120,11041,L8L,196.0,3.0,948,94.16666666666667,3,1,7.135
120,10930,L3Y,196.0,1.0,818,81.83333333333333,1,1,123.68
119,11024,L9B,196.0,7.0,855,80.5,1,0,14.672
120,10958,K6J,196.0,1.0,975,96.16666666666667,1,1,501.158
120,10775,L0R,196.0,2.0,833,83.33333333333333,2,1,58.645
120,10274,L3V,196.0,2.0,857,82.5,2,1,185.795
120,10247,M5N,196.0,2.0,827,82.16666666666667,2,1,78.768
120,10292,P6B,196.0,1.0,907,89.5,1,1,739.287
120,10231,L4G,196.0,3.0,783,71.5,3,0,119.227
120,10231,L3Z,196.0,2.0,907,90.66666666666667,2,1,118.678
119,10722,N7S,196.0,2.0,850,85.0,2,1,221.344
120,10654,L1V,196.0,2.0,907,88.16666666666667,2,1,105.068
119,10751,L6T,196.0,1.0,860,82.83333333333333,8,0,65.837
120,10549,L5M,196.0,4.0,885,,3,0,44.036
120,10293,L2H,196.0,2.0,855,85.5,2,1,85.419
120,11020,L8J,196.0,2.0,930,93.0,2,1,27.328
120,10310,,196.0,1.0,850,84.5,1,1,
119,10813,L7L,196.0,1.0,900,90.0,1,1,21.04
120,11216,L1W,196.0,2.0,857,83.83333333333333,2,1,107.699
120,10463,M6M,196.0,1.0,897,82.16666666666667,1,1,73.17
119,11245,L8W,196.0,2.0,757,71.33333333333333,1,0,18.526
120,11020,L8T,196.0,1.0,812,82.8,2,0,18.881
120,10996,M8Z,196.0,5.0,970,97.0,5,1,56.791
120,11160,L3R,196.0,6.0,847,86.0,6,1,101.274
120,10274,L3V,196.0,1.0,905,86.83333333333333,1,1,185.795
120,10444,K7C,196.0,2.0,817,81.66666666666667,2,1,421.193
120,10540,L9P,196.0,2.0,807,80.66666666666667,2,1,142.918
120,11020,L0R,196.0,1.0,798,79.83333333333333,1,0,58.645
120,11209,L9H,196.0,1.0,933,89.66666666666667,1,1,4.295
120,10826,L9S,196.0,1.0,832,82.66666666666667,1,1,146.557
120,11186,K0G,196.0,1.0,833,83.33333333333333,1,1,401.465
120,10499,L2G,196.0,2.0,850,81.66666666666667,2,1,89.965
120,10242,L6V,196.0,1.0,765,70.66666666666667,1,0,69.392
120,11020,L8J,196.0,2.0,847,84.33333333333333,2,1,27.328
120,11020,L8J,196.0,1.0,905,90.5,1,1,27.328
120,10244,L4C,196.0,3.0,813,81.33333333333333,3,1,96.7
120,10722,N7S,196.0,3.0,927,92.5,3,1,221.344
119,10892,M9M,196.0,2.0,907,89.0,2,1,68.176
120,10434,L5B,196.0,3.0,842,82.16666666666667,3,1,49.865
120,10602,L1R,196.0,1.0,958,95.33333333333333,1,1,137.638
120,10647,L4S,196.0,1.0,825,84.5,1,1,104.717
120,10463,M6M,196.0,2.0,865,83.33333333333333,2,1,73.17
120,10302,L6M,196.0,1.0,907,90.66666666666667,1,1,29.132
120,10965,P1A,196.0,1.0,897,91.2,1,1,393.099
120,10301,L5L,196.0,1.0,920,91.0,1,1,43.375
120,11181,N7S,196.0,2.0,902,87.16666666666667,2,1,221.344
120,10853,L7G,196.0,7.0,750,69.0,1,0,58.494
120,10250,N7S,196.0,1.0,777,77.66666666666667,1,0,221.344
119,10410,L5J,196.0,5.0,858,82.0,1,0,38.646
120,10517,L6Y,196.0,1.0,832,83.16666666666667,1,1,56.209
120,10434,L5N,196.0,2.0,840,79.0,2,1,47.066
119,10758,K7K,196.0,4.0,915,90.33333333333333,4,1,326.986
120,10990,K9H,196.0,3.0,913,91.33333333333333,3,1,213.457
119,10302,L6M,196.0,3.0,823,79.16666666666667,3,1,29.132
120,11049,L8G,196.0,3.0,767,73.0,1,0,30.775
120,10594,L8L,196.0,1.0,912,89.33333333333333,3,0,7.135
120,10360,L7M,196.0,1.0,872,85.83333333333333,1,1,21.165
119,10222,L6M,196.0,2.0,977,97.33333333333333,2,1,29.132
120,11024,L9G,196.0,1.0,822,82.16666666666667,1,1,15.182
120,10410,L5J,196.0,3.0,822,79.83333333333333,3,1,38.646
120,11216,L1V,196.0,1.0,818,80.5,1,1,105.068
120,10407,L9Z,196.0,4.0,917,90.33333333333333,4,1,188.205
119,11209,L0R,196.0,2.0,863,84.16666666666667,2,1,58.645
120,11051,L5M,196.0,1.0,845,84.0,1,1,44.036
120,11230,M5M,196.0,3.0,762,73.83333333333333,3,0,77.704
120,10545,N7G,196.0,2.0,892,89.16666666666667,2,1,161.9
120,11142,M1T,196.0,5.0,885,88.5,5,1,88.169
120,11049,L8G,196.0,1.0,810,81.0,1,1,30.775
120,10214,L9G,196.0,1.0,873,86.16666666666667,1,1,15.182
120,10694,N0E,196.0,2.0,822,82.16666666666667,2,1,78.822
120,10861,P0M,196.0,3.0,910,91.0,3,1,699.543
120,10548,N5A,196.0,1.0,852,85.16666666666667,1,1,105.998
