GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11219,196.0,3.0,913,91.33333333333333,3,1
120,10329,196.0,2.0,890,88.33333333333333,2,1
119,10329,196.0,3.0,845,83.66666666666667,1,0
119,10593,196.0,1.0,963,95.5,1,1
120,10587,196.0,5.0,927,91.66666666666667,5,1
120,11021,196.0,3.0,928,90.5,3,1
120,10327,196.0,3.0,932,93.16666666666667,3,1
120,10252,196.0,1.0,945,91.33333333333333,1,1
120,10779,196.0,3.0,942,91.33333333333333,3,1
119,10974,196.0,3.0,908,90.16666666666667,3,1
119,10532,196.0,3.0,960,96.0,3,1
120,11181,196.0,1.0,928,91.0,1,1
120,11129,196.0,2.0,902,89.33333333333333,2,1
120,11110,196.0,3.0,900,90.0,3,1
120,10277,196.0,1.0,900,89.5,1,1
120,10611,196.0,2.0,888,88.16666666666667,2,1
120,10402,196.0,6.0,917,91.66666666666667,6,1
120,10315,196.0,5.0,880,87.5,5,1
120,10744,196.0,1.0,982,95.83333333333333,1,1
119,10304,196.0,7.0,842,83.33333333333333,1,0
120,10407,196.0,1.0,888,88.0,1,1
120,10327,196.0,2.0,892,89.16666666666667,2,1
120,10407,196.0,4.0,895,89.16666666666667,4,1
120,10532,196.0,2.0,897,89.66666666666667,2,1
120,10327,196.0,3.0,895,89.5,3,1
120,10516,196.0,2.0,910,88.33333333333333,2,1
120,10234,196.0,3.0,923,92.16666666666667,3,1
120,10265,196.0,1.0,928,90.83333333333333,1,1
119,10233,196.0,4.0,907,90.66666666666667,4,1
119,11225,196.0,1.0,915,91.5,4,0
120,11022,196.0,2.0,888,88.83333333333333,2,1
119,10751,196.0,1.0,893,87.66666666666667,1,1
119,11026,196.0,2.0,987,97.33333333333333,2,1
120,10327,196.0,2.0,925,91.33333333333333,2,1
120,11207,196.0,4.0,853,84.5,3,0
120,11233,196.0,2.0,882,88.16666666666667,2,1
119,10634,196.0,3.0,907,90.66666666666667,3,1
120,10301,196.0,3.0,967,94.33333333333333,3,1
120,10455,196.0,3.0,897,89.66666666666667,3,1
120,10302,196.0,2.0,892,88.83333333333333,2,1
120,10982,196.0,1.0,897,89.66666666666667,1,1
120,10669,196.0,2.0,875,87.5,2,1
120,11110,196.0,6.0,813,68.33333333333333,3,0
120,10831,196.0,2.0,927,90.0,2,1
120,11094,196.0,2.0,893,89.33333333333333,2,1
120,10429,196.0,1.0,882,88.16666666666667,1,1
119,10316,196.0,1.0,917,90.66666666666667,1,1
119,10960,196.0,3.0,972,96.33333333333333,5,0
119,10807,196.0,2.0,928,87.66666666666667,7,0
120,10474,196.0,3.0,895,88.0,3,1
120,10960,196.0,3.0,903,90.33333333333333,3,1
120,11238,196.0,1.0,935,93.5,1,1
119,10962,196.0,2.0,913,90.5,2,1
120,11021,196.0,3.0,923,91.33333333333333,3,1
120,10557,196.0,3.0,872,87.16666666666667,3,1
120,10703,196.0,3.0,888,88.83333333333333,3,1
119,11030,196.0,5.0,897,88.66666666666667,5,1
120,10268,196.0,3.0,902,86.5,3,1
119,10505,196.0,2.0,885,88.0,2,1
120,10857,196.0,2.0,987,98.5,2,1
119,11030,196.0,1.0,930,91.16666666666667,1,1
119,10895,196.0,4.0,992,97.66666666666667,4,1
120,10779,196.0,1.0,890,88.16666666666667,1,1
120,10466,196.0,3.0,927,91.5,3,1
120,11061,196.0,2.0,960,93.33333333333333,2,1
120,10888,196.0,4.0,915,91.5,4,1
120,10698,196.0,5.0,927,89.0,5,1
120,10480,196.0,7.0,897,74.0,7,1
119,10827,196.0,3.0,917,89.33333333333333,3,1
120,10327,196.0,14.0,795,66.33333333333333,6,0
119,10228,196.0,8.0,883,88.33333333333333,8,1
120,10995,196.0,1.0,908,90.83333333333333,1,1
120,11082,196.0,7.0,880,87.33333333333333,1,0
120,10476,196.0,2.0,928,92.0,2,1
120,11011,196.0,1.0,957,95.66666666666667,1,1
120,10719,196.0,3.0,887,88.66666666666667,2,0
120,10476,196.0,3.0,858,83.0,1,0
120,10698,196.0,2.0,932,92.16666666666667,2,1
120,11021,196.0,2.0,897,87.16666666666667,2,1
120,10423,196.0,2.0,945,75.83333333333333,2,1
120,10327,196.0,10.0,913,90.5,10,1
120,10984,196.0,3.0,920,91.0,3,1
120,11120,196.0,2.0,925,92.5,2,0
119,11021,196.0,3.0,897,86.16666666666667,3,1
120,10986,196.0,7.0,830,79.5,6,0
120,10709,196.0,2.0,865,84.33333333333333,2,1
120,10649,196.0,2.0,892,89.16666666666667,2,1
119,11180,196.0,2.0,905,90.5,2,1
119,10578,196.0,4.0,887,85.5,4,1
120,10550,196.0,1.0,968,95.66666666666667,1,1
120,11239,196.0,2.0,917,88.16666666666667,4,0
119,10565,196.0,12.0,878,85.16666666666667,7,0
120,10995,196.0,5.0,938,93.83333333333333,5,1
120,10911,196.0,3.0,902,90.16666666666667,3,1
120,10476,196.0,2.0,902,86.66666666666667,2,1
120,10434,196.0,3.0,822,90.0,3,1
120,10976,196.0,5.0,960,96.0,5,1
120,10806,196.0,2.0,912,91.16666666666667,2,1
120,10733,196.0,6.0,902,73.16666666666667,6,1
120,11054,196.0,2.0,968,95.16666666666667,2,1
119,10594,196.0,1.0,910,91.0,1,1
120,10316,196.0,3.0,940,91.16666666666667,3,1
120,10458,196.0,12.0,857,82.33333333333333,4,0
120,10434,196.0,2.0,908,90.83333333333333,2,1
120,11011,196.0,2.0,940,92.66666666666667,2,1
120,10217,196.0,1.0,880,88.0,1,1
120,11054,196.0,2.0,855,85.5,2,1
120,11054,196.0,2.0,962,95.0,2,1
119,10672,196.0,2.0,920,91.0,2,1
120,10252,196.0,1.0,937,90.0,1,1
120,10429,196.0,2.0,915,91.5,2,1
119,10713,196.0,1.0,925,91.16666666666667,1,1
119,10951,196.0,3.0,935,90.16666666666667,3,1
120,10938,196.0,4.0,905,88.0,4,1
120,10786,196.0,3.0,928,89.0,3,1
120,10316,196.0,2.0,918,90.83333333333333,2,1
120,11236,196.0,2.0,913,88.16666666666667,2,1
120,10786,196.0,3.0,900,87.16666666666667,3,1
120,10639,196.0,2.0,902,90.16666666666667,2,1
120,10964,196.0,2.0,883,87.5,2,1
120,10770,196.0,1.0,955,95.5,1,1
120,10909,196.0,2.0,958,16.333333333333332,3,0
120,10731,196.0,1.0,955,95.5,1,1
120,10722,196.0,1.0,978,96.66666666666667,1,1
119,10429,196.0,1.0,968,95.5,1,1
120,10270,196.0,3.0,883,88.33333333333333,3,1
120,10464,196.0,1.0,915,90.83333333333333,1,1
119,10270,196.0,1.0,913,90.5,1,1
120,10921,196.0,1.0,887,88.66666666666667,1,1
120,10324,196.0,2.0,933,16.0,2,1
120,11024,196.0,2.0,917,90.16666666666667,1,0
120,11154,196.0,2.0,872,74.0,2,1
119,10239,196.0,10.0,857,85.66666666666667,2,0
120,10550,196.0,3.0,938,93.33333333333333,3,1
120,11057,196.0,2.0,902,90.16666666666667,2,1
119,10373,196.0,1.0,933,93.33333333333333,2,0
119,10882,196.0,1.0,910,90.83333333333333,1,1
120,11049,196.0,2.0,863,86.33333333333333,1,0
120,11002,196.0,1.0,925,92.16666666666667,1,1
119,11059,196.0,2.0,968,96.16666666666667,2,1
120,10479,196.0,2.0,888,86.5,2,1
120,10476,196.0,1.0,977,97.16666666666667,3,0
120,10610,196.0,1.0,903,90.33333333333333,1,1
120,10610,196.0,1.0,932,93.16666666666667,1,1
119,10474,196.0,4.0,930,91.83333333333333,4,1
120,10685,196.0,4.0,895,88.0,4,1
120,11057,196.0,3.0,913,89.33333333333333,3,1
120,11082,196.0,3.0,907,90.66666666666667,3,1
120,10462,196.0,2.0,903,88.33333333333333,2,1
120,10947,196.0,3.0,908,90.83333333333333,3,1
120,10722,196.0,2.0,850,84.0,4,0
119,10697,196.0,4.0,895,89.0,4,1
120,10881,196.0,1.0,917,90.16666666666667,1,1
120,10429,196.0,2.0,875,84.33333333333333,2,0
120,10807,196.0,2.0,883,87.83333333333333,2,1
120,10360,196.0,2.0,952,92.33333333333333,2,1
120,10650,196.0,3.0,865,85.16666666666667,3,1
120,10316,196.0,3.0,928,90.83333333333333,3,1
120,10356,196.0,1.0,922,90.66666666666667,1,1
120,11245,196.0,1.0,890,88.5,1,1
120,10738,196.0,4.0,917,91.66666666666667,4,1
119,10269,196.0,3.0,982,95.0,3,1
119,10215,196.0,3.0,950,95.0,3,1
119,10246,196.0,2.0,897,89.66666666666667,2,1
120,10235,196.0,3.0,907,88.83333333333333,3,1
120,11120,196.0,10.0,895,89.5,10,0
119,10529,196.0,3.0,882,88.16666666666667,3,1
119,10962,196.0,1.0,985,98.16666666666667,1,1
120,10410,196.0,8.0,905,88.83333333333333,8,1
120,10492,196.0,2.0,900,89.0,2,1
120,10335,196.0,3.0,937,92.83333333333333,3,1
120,10948,196.0,1.0,962,95.0,1,1
120,11172,196.0,3.0,933,76.16666666666667,3,1
120,10751,196.0,3.0,883,88.33333333333333,3,1
120,10764,196.0,1.0,940,94.0,1,1
120,10650,196.0,1.0,885,86.16666666666667,1,1
120,10479,196.0,4.0,872,85.33333333333333,4,1
120,10746,196.0,4.0,943,94.0,4,1
120,10738,196.0,4.0,907,88.83333333333333,4,1
119,10445,196.0,2.0,908,90.33333333333333,2,1
120,10918,196.0,1.0,787,77.66666666666667,2,0
119,10687,196.0,2.0,990,98.33333333333333,2,1
120,10302,196.0,1.0,915,90.16666666666667,1,1
120,10711,196.0,2.0,968,95.83333333333333,2,1
120,10951,196.0,2.0,918,91.0,2,1
120,10327,196.0,1.0,875,85.5,3,0
120,10217,196.0,7.0,897,89.5,7,1
119,11111,196.0,1.0,902,90.16666666666667,1,1
120,10588,196.0,6.0,778,77.83333333333333,2,0
120,10476,196.0,2.0,912,87.5,2,1
120,10650,196.0,2.0,908,88.0,2,1
120,11111,196.0,1.0,935,93.16666666666667,1,1
120,10228,196.0,2.0,955,95.5,2,1
119,10338,196.0,1.0,917,90.33333333333333,1,1
120,10327,196.0,2.0,932,93.16666666666667,2,0
120,10345,196.0,1.0,908,89.33333333333333,1,1
120,11244,196.0,2.0,898,89.0,2,1
120,11111,196.0,5.0,880,88.0,5,0
119,10515,196.0,1.0,957,95.66666666666667,4,0
120,10432,196.0,3.0,972,96.16666666666667,3,1
119,11082,196.0,3.0,897,89.66666666666667,1,0
120,11094,196.0,1.0,963,95.33333333333333,1,1
120,10318,196.0,2.0,887,88.66666666666667,2,1
119,10685,196.0,1.0,897,89.66666666666667,1,1
120,10429,196.0,5.0,895,89.5,5,1
120,10729,196.0,3.0,882,73.33333333333333,3,1
119,10518,196.0,4.0,933,90.83333333333333,4,1
120,10766,196.0,2.0,903,15.833333333333334,2,1
119,10232,196.0,3.0,893,74.16666666666667,2,0
120,10947,196.0,4.0,878,87.83333333333333,4,1
120,11061,196.0,3.0,898,88.33333333333333,4,0
120,10434,196.0,5.0,865,85.16666666666667,5,1
119,10528,196.0,2.0,877,86.5,2,1
119,10568,196.0,2.0,942,92.5,2,1
120,10434,196.0,2.0,940,92.83333333333333,2,1
120,10631,196.0,5.0,952,92.66666666666667,5,1
120,10649,196.0,2.0,927,89.66666666666667,2,1
119,10302,196.0,2.0,978,96.66666666666667,2,1
120,10565,196.0,3.0,930,92.33333333333333,3,1
120,10786,196.0,3.0,880,84.5,3,1
120,10434,196.0,1.0,855,87.16666666666667,1,1
119,10373,196.0,1.0,968,91.33333333333333,3,0
120,10650,196.0,5.0,900,84.83333333333333,5,1
120,10844,196.0,1.0,968,95.33333333333333,1,1
119,10476,196.0,1.0,942,94.16666666666667,2,0
120,10467,196.0,1.0,882,86.83333333333333,1,1
120,10689,196.0,3.0,842,84.16666666666667,4,0
120,10932,196.0,1.0,913,91.33333333333333,1,1
119,10458,196.0,3.0,893,88.5,3,1
120,10618,196.0,3.0,902,89.83333333333333,3,1
119,10731,196.0,5.0,902,88.0,1,0
120,10372,196.0,3.0,900,89.16666666666667,3,1
120,10383,196.0,2.0,918,91.66666666666667,2,1
120,11061,196.0,2.0,898,89.83333333333333,2,1
120,10786,196.0,3.0,883,88.33333333333333,3,1
120,10215,196.0,1.0,877,86.0,1,1
120,10429,196.0,1.0,883,86.0,1,1
120,10797,196.0,1.0,927,92.66666666666667,1,1
120,10316,196.0,3.0,872,86.0,3,1
119,11005,196.0,1.0,935,92.0,1,1
120,10564,196.0,3.0,890,88.0,3,1
120,10215,196.0,1.0,885,88.5,1,1
120,10890,196.0,1.0,902,87.5,1,1
119,10316,196.0,2.0,977,94.83333333333333,3,0
119,10486,196.0,4.0,950,95.0,3,0
120,10223,196.0,2.0,930,91.5,1,0
119,10223,196.0,1.0,942,91.83333333333333,7,0
119,10273,196.0,1.0,935,91.5,1,1
120,10432,196.0,4.0,950,93.5,4,1
120,11135,196.0,5.0,930,90.66666666666667,5,0
120,10593,196.0,2.0,935,92.0,2,1
119,11135,196.0,5.0,917,90.33333333333333,5,1
120,10951,196.0,1.0,872,87.16666666666667,1,1
120,10650,196.0,4.0,928,89.83333333333333,4,1
120,10516,196.0,1.0,892,87.5,4,0
120,10822,196.0,3.0,912,90.66666666666667,3,1
120,10714,196.0,4.0,903,89.66666666666667,4,1
120,10733,196.0,8.0,958,92.83333333333333,8,1
120,10508,196.0,4.0,863,85.0,4,1
119,10400,196.0,2.0,893,89.33333333333333,2,1
120,10973,196.0,4.0,920,92.0,4,1
120,11051,196.0,2.0,943,92.0,2,1
119,10780,196.0,4.0,902,87.5,4,1
119,10434,196.0,1.0,933,90.83333333333333,1,1
119,10306,196.0,7.0,967,94.66666666666667,7,1
120,11082,196.0,1.0,893,89.33333333333333,1,0
120,10233,196.0,1.0,923,92.33333333333333,1,1
