GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11070,M4P,196.0,3.0,848,84.83333333333333,3,1
120,11112,M2N,196.0,1.0,810,81.0,1,1
120,11210,L0S,196.0,2.0,882,88.0,2,1
120,11199,L8R,196.0,1.0,923,90.0,1,1
120,10309,,196.0,7.0,882,72.0,2,0
119,10980,P0L,196.0,1.0,927,92.33333333333333,1,1
120,10348,P1B,196.0,2.0,820,82.0,2,1
119,10771,L2M,196.0,1.0,863,85.0,1,1
119,10767,L8N,196.0,4.0,863,86.33333333333333,4,1
120,11094,L5V,196.0,4.0,800,82.0,2,0
119,10341,L5M,196.0,3.0,812,79.83333333333333,3,1
119,10215,L9B,196.0,1.0,850,85.0,1,1
120,10215,L9A,196.0,1.0,847,84.66666666666667,1,1
119,10775,N0A,196.0,1.0,862,84.16666666666667,1,1
120,10775,L0R,196.0,2.0,808,80.83333333333333,2,1
120,10775,N1A,196.0,1.0,928,92.83333333333333,1,1
119,10292,P6A,196.0,1.0,888,87.66666666666667,1,1
120,10538,P4N,196.0,5.0,878,84.0,5,1
120,10215,L9B,196.0,1.0,898,87.83333333333333,1,1
120,10215,L9C,196.0,1.0,845,83.5,1,1
119,10215,L9C,196.0,1.0,920,92.0,1,1
120,10384,L0S,196.0,1.0,923,90.66666666666667,1,1
120,10603,L8T,196.0,1.0,848,84.66666666666667,1,1
120,10245,L4G,196.0,1.0,927,92.0,1,1
120,10215,L9B,196.0,1.0,883,87.33333333333333,1,1
119,11164,L2H,196.0,6.0,912,90.83333333333333,6,1
119,10709,L8E,196.0,1.0,832,83.16666666666667,3,0
119,11158,M4R,196.0,2.0,910,91.0,2,1
119,10867,N0N,196.0,1.0,862,83.66666666666667,1,1
120,10215,L9B,196.0,1.0,950,91.5,1,1
120,10550,L0H,196.0,2.0,820,81.83333333333333,2,1
120,10379,L3P,196.0,3.0,920,92.0,3,1
120,10215,L8S,196.0,4.0,800,54.0,3,0
120,10674,L8J,196.0,1.0,903,90.33333333333333,1,1
120,11054,M4G,196.0,2.0,870,87.0,2,1
119,10240,L0L,196.0,1.0,870,86.16666666666667,1,1
119,10452,N3W,196.0,1.0,872,82.16666666666667,1,1
120,10364,K7C,196.0,2.0,930,91.16666666666667,2,1
120,10215,L9C,196.0,1.0,848,82.66666666666667,1,1
