GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10628,N0H,190.0,5.0,753,75.33333333333333,2,0,198.367
120,10233,,,,860,83.83333333333333,3,0,
120,10405,N1A,178.0,1.0,883,88.33333333333333,4,0,63.83
120,11164,L2R,194.0,2.0,915,90.33333333333333,1,0,68.5
120,10215,L9B,,,842,82.33333333333333,1,0,14.672
120,10834,N9K,178.0,1.0,918,91.83333333333333,4,0,292.8
120,11026,M6M,194.0,1.0,878,87.0,4,0,73.17
120,11168,K1H,194.0,1.0,897,86.0,4,0,508.972
119,10672,L4B,175.0,4.0,833,81.5,6,0,95.795
120,10214,L6M,179.0,2.0,832,81.0,3,0,29.132
120,10990,K9J,,,925,91.33333333333333,3,0,202.554
120,10599,M1C,178.0,1.0,957,95.0,3,0,102.72
119,10269,N3T,178.0,1.0,925,92.16666666666667,2,0,30.2
120,10379,M2L,194.0,1.0,933,93.0,6,0,82.967
120,10528,N1G,197.0,1.0,945,94.5,3,0,47.319
120,10269,N3R,179.0,1.0,813,81.33333333333333,3,0,38.046
120,10807,M5N,191.0,1.0,923,92.33333333333333,2,0,78.768
120,10753,N2P,178.0,1.0,862,85.66666666666667,3,0,59.435
120,10238,K8V,179.0,1.0,963,95.83333333333333,3,0,238.41
119,10884,P0K,195.0,1.0,928,89.66666666666667,2,0,696.848
119,11177,K8N,191.0,1.0,977,96.66666666666667,3,0,256.089
119,10938,M4C,178.0,9.0,870,79.8,3,0,80.155
120,10313,,194.0,2.0,932,91.66666666666667,3,0,
120,11096,M1N,191.0,2.0,897,88.66666666666667,7,0,79.093
119,10364,K7C,193.0,3.0,790,75.83333333333333,2,0,421.193
120,10822,K8A,191.0,1.0,965,95.33333333333333,2,0,451.686
119,11245,L8W,197.0,1.0,752,70.0,3,0,18.526
120,10258,L0S,199.0,2.0,882,92.0,1,0,79.807
120,10628,N0H,,,843,83.16666666666667,2,0,198.367
120,10384,L2N,198.0,1.0,935,92.5,2,0,69.576
120,11054,M4G,,,823,81.5,3,0,79.543
120,10918,M8Z,191.0,1.0,828,80.16666666666667,3,0,56.791
119,10966,L6S,178.0,1.0,952,93.83333333333333,4,0,69.821
120,11045,K2M,199.0,2.0,855,90.0,4,0,501.155
120,10390,L3Z,191.0,1.0,918,92.0,3,0,118.678
120,10666,L7L,179.0,1.0,870,87.0,4,0,21.04
119,10302,L6M,191.0,1.0,888,87.16666666666667,3,0,29.132
120,10758,K7M,,,960,95.33333333333333,1,0,323.122
120,10394,L4G,178.0,1.0,895,88.66666666666667,2,0,119.227
120,10528,N1C,178.0,1.0,912,89.5,2,0,44.127
120,10878,K9J,191.0,2.0,908,90.83333333333333,4,0,202.554
120,10504,N2V,178.0,3.0,955,95.5,1,0,76.332
119,10881,P6A,191.0,2.0,887,87.0,3,0,734.777
120,10725,L5M,194.0,1.0,958,95.16666666666667,3,0,44.036
120,10434,L5B,,,0,65.83333333333333,3,0,49.865
119,11058,M2N,191.0,10.0,868,85.16666666666667,2,0,80.095
