GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10976,L0M,196.0,5.0,960,96.0,5,1,153.369
120,10806,L2A,196.0,2.0,912,91.16666666666667,2,1,112.88
120,10733,L5N,196.0,6.0,902,87.8,6,1,47.066
120,11054,M9C,196.0,2.0,968,95.16666666666667,2,1,57.272
119,10594,L8V,196.0,1.0,910,91.0,1,1,9.795
120,10316,L5L,196.0,3.0,940,91.16666666666667,3,1,43.375
120,10458,L4B,196.0,12.0,857,82.33333333333333,4,0,95.795
120,10434,L5A,196.0,2.0,908,90.83333333333333,2,1,49.237
120,11011,L7T,196.0,2.0,940,92.66666666666667,2,1,13.14
120,10217,M9N,196.0,1.0,880,88.0,1,1,69.301
120,11054,L4L,196.0,2.0,855,85.5,2,1,79.825
120,11054,L0J,196.0,2.0,962,95.0,2,1,85.145
119,10672,L4B,196.0,2.0,920,91.0,2,1,95.795
120,10252,L5M,196.0,1.0,937,90.0,1,1,44.036
120,10429,L6L,196.0,2.0,915,91.5,2,1,26.523
119,10713,N0B,196.0,1.0,925,91.16666666666667,1,1,65.281
119,10951,M1K,196.0,3.0,935,90.16666666666667,3,1,94.663
120,10938,M4C,196.0,4.0,905,88.0,4,1,80.155
120,10786,L4X,196.0,3.0,928,89.0,3,1,53.046
120,10316,L5V,196.0,2.0,918,90.83333333333333,2,1,48.809
120,11236,L5V,196.0,2.0,913,88.16666666666667,2,1,48.809
120,10786,L4X,196.0,3.0,900,87.16666666666667,3,1,53.046
120,10639,L5M,196.0,2.0,902,90.16666666666667,2,1,44.036
120,10964,L5J,196.0,2.0,883,87.5,2,1,38.646
120,10770,N2A,196.0,1.0,955,95.5,1,1,61.8
120,10909,L6M,196.0,2.0,958,98.0,3,0,29.132
120,10731,L0R,196.0,1.0,955,95.5,1,1,58.645
120,10722,N0N,196.0,1.0,978,96.66666666666667,1,1,202.893
119,10429,L6H,196.0,1.0,968,95.5,1,1,35.959
120,10270,M1E,196.0,3.0,883,88.33333333333333,3,1,100.32
120,10464,M1B,196.0,1.0,915,90.83333333333333,1,1,97.319
119,10270,M1B,196.0,1.0,913,90.5,1,1,97.319
120,10921,L6X,196.0,1.0,887,88.66666666666667,1,1,58.985
120,10324,L9T,196.0,2.0,933,96.0,2,1,36.861
120,11024,L9K,196.0,2.0,917,90.16666666666667,1,0,9.638
120,11154,L6E,196.0,2.0,872,88.8,2,1,108.667
119,10239,L4C,196.0,10.0,857,85.66666666666667,2,0,96.7
120,10550,L4A,196.0,3.0,938,93.33333333333333,3,1,123.555
120,11057,L3R,196.0,2.0,902,90.16666666666667,2,1,101.274
119,10373,M6S,196.0,1.0,933,93.33333333333333,2,0,62.191
119,10882,N2T,196.0,1.0,910,90.83333333333333,1,1,76.219
120,11049,L8E,196.0,2.0,863,86.33333333333333,1,0,34.328
120,11002,L4N,196.0,1.0,925,92.16666666666667,1,1,149.33
119,11059,L3M,196.0,2.0,968,96.16666666666667,2,1,44.362
120,10479,M9W,196.0,2.0,888,86.5,2,1,63.928
120,10476,L8S,196.0,1.0,977,97.16666666666667,3,0,0.836
120,10610,L8H,196.0,1.0,903,90.33333333333333,1,1,28.251
120,10610,L8H,196.0,1.0,932,93.16666666666667,1,1,28.251
119,10474,L9T,196.0,4.0,930,91.83333333333333,4,1,36.861
120,10685,L7L,196.0,4.0,895,88.0,4,1,21.04
120,11057,L6E,196.0,3.0,913,89.33333333333333,3,1,108.667
120,11082,L6A,196.0,3.0,907,90.66666666666667,3,1,93.662
120,10462,L4X,196.0,2.0,903,88.33333333333333,2,1,53.046
120,10947,M2K,196.0,3.0,908,90.83333333333333,3,1,80.391
120,10722,N7S,196.0,2.0,850,84.0,4,0,221.344
119,10697,L6B,196.0,4.0,895,89.0,4,1,108.953
120,10881,P6C,196.0,1.0,917,90.16666666666667,1,1,743.894
120,10429,L6H,196.0,2.0,875,84.33333333333333,2,0,35.959
120,10807,M6C,196.0,2.0,883,87.83333333333333,2,1,78.836
120,10360,L7M,196.0,2.0,952,92.33333333333333,2,1,21.165
120,10650,L5J,196.0,3.0,865,85.16666666666667,3,1,38.646
120,10316,L5B,196.0,3.0,928,90.83333333333333,3,1,49.865
120,10356,L7M,196.0,1.0,922,90.66666666666667,1,1,21.165
120,11245,L8W,196.0,1.0,890,88.5,1,1,18.526
120,10738,L6H,196.0,4.0,917,91.66666666666667,4,1,35.959
119,10269,N3P,196.0,3.0,982,95.0,3,1,34.413
119,10215,L9B,196.0,3.0,950,95.0,3,1,14.672
119,10246,M5A,196.0,2.0,897,89.66666666666667,2,1,70.198
120,10235,,196.0,3.0,907,88.83333333333333,3,1,
120,11120,M1V,196.0,10.0,895,89.5,10,0,94.52
119,10529,K8P,196.0,3.0,882,88.16666666666667,3,1,253.935
119,10962,L0B,196.0,1.0,985,98.16666666666667,1,1,165.539
120,10410,L5J,196.0,8.0,905,88.83333333333333,8,1,38.646
120,10492,L4J,196.0,2.0,900,89.0,2,1,89.771
120,10335,L3C,196.0,3.0,937,92.83333333333333,3,1,89.2
120,10948,L0S,196.0,1.0,962,95.0,1,1,79.807
120,11172,L6J,196.0,3.0,933,91.4,3,1,36.619
120,10751,L7E,196.0,3.0,883,88.33333333333333,3,1,88.087
120,10764,L3M,196.0,1.0,940,94.0,1,1,44.362
120,10650,L5G,196.0,1.0,885,86.16666666666667,1,1,48.897
120,10479,M9V,196.0,4.0,872,85.33333333333333,4,1,68.4
120,10746,P7B,196.0,4.0,943,94.0,4,1,1427.762
120,10738,L6H,196.0,4.0,907,88.83333333333333,4,1,35.959
119,10445,M5R,196.0,2.0,908,90.33333333333333,2,1,70.068
119,10687,N1T,196.0,2.0,990,98.33333333333333,2,1,48.217
120,10302,L6H,196.0,1.0,915,90.16666666666667,1,1,35.959
120,10711,L9W,196.0,2.0,968,95.83333333333333,2,1,120.785
120,10951,M1P,196.0,2.0,918,91.0,2,1,91.207
120,10327,M2J,196.0,1.0,875,85.5,3,0,85.743
120,10217,,196.0,7.0,897,89.5,7,1,
119,11111,M9N,196.0,1.0,902,90.16666666666667,1,1,69.301
120,10476,L9B,196.0,2.0,912,87.5,2,1,14.672
120,10650,L5V,196.0,2.0,908,88.0,2,1,48.809
120,11111,M8Z,196.0,1.0,935,93.16666666666667,1,1,56.791
120,10228,L6L,196.0,2.0,955,95.5,2,1,26.523
119,10338,L6E,196.0,1.0,917,90.33333333333333,1,1,108.667
120,10327,M2J,196.0,2.0,932,93.16666666666667,2,0,85.743
120,10345,M2M,196.0,1.0,908,89.33333333333333,1,1,95.506
120,11244,L4E,196.0,2.0,898,89.0,2,1,111.505
120,11111,M9N,196.0,5.0,880,88.0,5,0,69.301
119,10515,L7R,196.0,1.0,957,95.66666666666667,4,0,17.022
120,10432,L6B,196.0,3.0,972,96.16666666666667,3,1,108.953
119,11082,M1W,196.0,3.0,897,89.66666666666667,1,0,90.18
120,11094,L7N,196.0,1.0,963,95.33333333333333,1,1,19.322
120,10318,L2N,196.0,2.0,887,88.66666666666667,2,1,69.576
119,10685,L7M,196.0,1.0,897,89.66666666666667,1,1,21.165
120,10429,L6H,196.0,5.0,895,89.5,5,1,35.959
120,10729,K2J,196.0,3.0,882,88.0,3,1,497.219
119,10518,N0M,196.0,4.0,933,90.83333333333333,4,1,156.952
120,10766,L6H,196.0,2.0,903,95.0,2,1,35.959
119,10232,M6B,196.0,3.0,893,89.0,2,0,76.784
120,10947,M2N,196.0,4.0,878,87.83333333333333,4,1,80.095
120,11061,L6V,196.0,3.0,898,88.33333333333333,4,0,69.392
120,10434,L5B,196.0,5.0,865,85.16666666666667,5,1,49.865
119,10528,N1L,196.0,2.0,877,86.5,2,1,43.773
119,10568,L4J,196.0,2.0,942,92.5,2,1,89.771
120,10434,L5B,196.0,2.0,940,92.83333333333333,2,1,49.865
120,10631,K9A,196.0,5.0,952,92.66666666666667,5,1,186.245
120,10649,L5V,196.0,2.0,927,89.66666666666667,2,1,48.809
119,10302,L6M,196.0,2.0,978,96.66666666666667,2,1,29.132
120,10565,N9G,196.0,3.0,930,92.33333333333333,3,1,297.078
120,10786,L4X,196.0,3.0,880,84.5,3,1,53.046
120,10434,L5A,196.0,1.0,855,87.16666666666667,1,1,49.237
119,10373,M6M,196.0,1.0,968,91.33333333333333,3,0,73.17
120,10650,L5N,196.0,5.0,900,84.83333333333333,5,1,47.066
120,10844,L3P,196.0,1.0,968,95.33333333333333,1,1,106.86
119,10476,L8S,196.0,1.0,942,94.16666666666667,2,0,0.836
120,10467,M4L,196.0,1.0,882,86.83333333333333,1,1,73.8
120,10689,K0K,196.0,3.0,842,84.16666666666667,4,0,273.902
120,10932,K0L,196.0,1.0,913,91.33333333333333,1,1,274.237
119,10458,M4A,196.0,3.0,893,88.5,3,1,112.0
120,10618,K2H,196.0,3.0,902,89.83333333333333,3,1,501.485
119,10731,L9G,196.0,5.0,902,88.0,1,0,15.182
120,10372,M9C,196.0,3.0,900,89.16666666666667,3,1,57.272
120,10383,K7P,196.0,2.0,918,91.66666666666667,2,1,322.041
120,11061,L7A,196.0,2.0,898,89.83333333333333,2,1,63.292
120,10786,L4X,196.0,3.0,883,88.33333333333333,3,1,53.046
120,10215,L9A,196.0,1.0,877,86.0,1,1,8.381
120,10429,L6M,196.0,1.0,883,86.0,1,1,29.132
120,10797,N4G,196.0,1.0,927,92.66666666666667,1,1,108.952
120,10316,L4Z,196.0,3.0,872,86.0,3,1,50.891
119,11005,L7M,196.0,1.0,935,92.0,1,1,21.165
120,10564,M1H,196.0,3.0,890,88.0,3,1,93.422
120,10215,L9A,196.0,1.0,885,88.5,1,1,8.381
120,10890,L1S,196.0,1.0,902,87.5,1,1,112.77
119,10316,L5N,196.0,2.0,977,94.83333333333333,3,0,47.066
119,10486,N4K,196.0,4.0,950,95.0,3,0,213.801
120,10223,L6K,196.0,2.0,930,91.5,1,0,31.938
119,10223,,196.0,1.0,942,91.83333333333333,7,0,
119,10273,L5B,196.0,1.0,935,91.5,1,1,49.865
120,10432,M1V,196.0,4.0,950,93.5,4,1,94.52
120,11135,M2N,196.0,5.0,930,90.66666666666667,5,0,80.095
120,10593,L0R,196.0,2.0,935,92.0,2,1,58.645
119,11135,L3P,196.0,5.0,917,90.33333333333333,5,1,106.86
120,10951,M3C,196.0,1.0,872,87.16666666666667,1,1,81.269
120,10650,L5M,196.0,4.0,928,89.83333333333333,4,1,44.036
120,10516,L6P,196.0,1.0,892,87.5,4,0,77.8
120,10822,K8H,196.0,3.0,912,90.66666666666667,3,1,455.787
