GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10935,M1R,196.0,3.0,777,77.66666666666667,3,1,83.177
120,10911,L0L,196.0,1.0,948,92.5,1,1,172.542
120,10771,L2M,196.0,2.0,868,81.5,2,1,73.9
120,10962,L1C,196.0,1.0,860,85.16666666666667,1,1,142.509
119,10751,L7E,196.0,3.0,883,88.16666666666667,3,1,88.087
120,10503,N0E,196.0,1.0,953,95.33333333333333,1,1,78.822
120,10954,K9K,196.0,1.0,842,84.16666666666667,1,1,201.097
120,10693,M6K,196.0,2.0,855,83.5,2,1,63.518
120,10666,L7L,196.0,2.0,812,81.2,2,1,21.04
120,10557,L6L,196.0,1.0,887,88.66666666666667,1,1,26.523
120,11057,L4A,196.0,1.0,857,85.66666666666667,1,1,123.555
120,10792,N1S,196.0,1.0,913,87.66666666666667,1,1,37.914
119,11041,L8M,196.0,3.0,963,94.5,3,1,8.245
120,10430,N0L,196.0,1.0,885,88.0,1,1,148.182
120,10918,M8Y,196.0,3.0,830,83.0,3,1,59.419
120,10944,K0K,196.0,1.0,882,85.66666666666667,1,1,273.902
120,10594,L8R,196.0,1.0,827,82.66666666666667,1,1,5.061
120,10869,M8V,196.0,3.0,918,91.16666666666667,3,1,58.339
120,10812,L3X,196.0,3.0,825,81.33333333333333,3,1,117.408
120,10786,L4X,196.0,1.0,960,95.33333333333333,2,0,53.046
120,10779,L6Z,196.0,2.0,823,78.83333333333333,2,1,70.914
120,11155,L4E,196.0,2.0,863,86.33333333333333,2,1,111.505
120,10410,L5H,196.0,3.0,860,86.0,3,1,46.357
120,10824,M9C,196.0,5.0,927,91.83333333333333,5,1,57.272
120,11130,L4J,196.0,3.0,887,88.66666666666667,2,0,89.771
120,10434,L5B,196.0,1.0,913,90.0,1,1,49.865
120,10281,P6B,196.0,1.0,822,82.16666666666667,1,1,739.287
120,10580,K0H,196.0,2.0,937,93.16666666666667,2,1,339.69
120,10639,L5M,196.0,2.0,790,78.33333333333333,2,0,44.036
120,10834,N8N,196.0,1.0,872,86.66666666666667,1,1,287.087
120,10788,L8K,196.0,2.0,883,86.83333333333333,2,1,12.637
119,10930,L9N,196.0,1.0,910,90.5,1,1,122.993
120,10578,L3P,196.0,1.0,913,88.16666666666667,3,0,106.86
120,10302,L6M,196.0,6.0,962,95.16666666666667,6,1,29.132
120,10523,N5R,196.0,2.0,882,88.16666666666667,2,1,138.978
120,10528,N0B,196.0,1.0,847,83.16666666666667,1,1,65.281
120,10935,M3B,196.0,2.0,845,83.83333333333333,2,1,85.419
120,11245,L8W,196.0,1.0,953,95.33333333333333,2,0,18.526
120,10429,L6H,196.0,1.0,948,94.83333333333333,1,1,35.959
119,10877,L4W,196.0,2.0,857,81.66666666666667,2,1,54.851
120,10476,L8P,196.0,1.0,953,89.66666666666667,5,0,3.248
119,11241,L4N,196.0,3.0,850,81.66666666666667,3,1,149.33
120,10231,L4G,196.0,2.0,822,82.16666666666667,3,0,119.227
120,10641,L0S,196.0,1.0,902,90.0,1,1,79.807
119,11038,N5Z,196.0,1.0,848,82.66666666666667,1,1,123.197
119,10733,L6W,196.0,1.0,853,83.33333333333333,1,1,61.546
120,10429,L6H,196.0,3.0,840,84.0,3,1,35.959
119,10706,M2R,196.0,1.0,847,84.66666666666667,1,1,79.906
120,10302,L6M,196.0,1.0,953,95.33333333333333,1,1,29.132
120,10773,L9H,196.0,5.0,977,97.5,5,1,4.295
119,10757,L4E,196.0,2.0,885,88.5,2,1,111.505
120,11024,L9K,196.0,1.0,877,87.16666666666667,1,1,9.638
120,10713,N2T,196.0,2.0,750,75.0,2,0,76.219
120,10655,L1T,196.0,4.0,865,83.33333333333333,4,1,114.116
120,10231,L4G,196.0,5.0,755,71.5,4,0,119.227
120,10680,L8W,196.0,1.0,815,81.5,1,1,18.526
120,10360,L7P,196.0,2.0,843,81.0,2,1,12.341
120,10896,L1V,196.0,2.0,852,80.0,2,1,105.068
119,10789,K7G,196.0,2.0,968,96.83333333333333,2,1,356.08
120,11245,L8W,196.0,1.0,828,80.66666666666667,1,1,18.526
119,10738,L6H,196.0,4.0,963,94.5,5,0,35.959
120,10704,N0J,196.0,2.0,823,80.66666666666667,2,1,93.401
120,10674,L8J,196.0,1.0,923,90.16666666666667,1,1,27.328
120,10708,L3V,196.0,2.0,825,82.5,2,1,185.795
120,11240,L6A,196.0,3.0,918,89.66666666666667,3,1,93.662
120,10759,N2Z,196.0,3.0,912,91.0,3,1,206.18
